,,Wiltshire,England
Winterbourne Gunner,SP4,Wiltshire,England
Winterbourne Monkton,SN4,Wiltshire,England
Winterbourne Stoke,SP3,Wiltshire,England
Woodborough,SN9,Wiltshire,England
Woodcock,,Wiltshire,England
Woodfalls,SP5,Wiltshire,England
Woodminton,SP5,Wiltshire,England
Woodsend,SN8,Wiltshire,England
Woolley,,Wiltshire,England
Woolley Green,,Wiltshire,England
Wootton Bassett,SN4,Wiltshire,England
Wootton Rivers,SN8,Wiltshire,England
Worton,SN10,Wiltshire,England
Wroughton,SN4,Wiltshire,England
Wylye,BA12,Wiltshire,England
Yarnbrook,BA14,Wiltshire,England
Yatesbury,SN11,Wiltshire,England
Yatton Keynell,SN14,Wiltshire,England
