,,North Yorkshire,England
Kirby Misperton,YO17,North Yorkshire,England
Kirby Sigston,DL6,North Yorkshire,England
Kirby Underdale,,North Yorkshire,England
Kirby Wiske,YO7,North Yorkshire,England
Kirk Deighton,LS22,North Yorkshire,England
Kirk Ella,,North Yorkshire,England
Kirk Hammerton,,North Yorkshire,England
Kirk Smeaton,WF8,North Yorkshire,England
Kirkbridge,DL8,North Yorkshire,England
Kirkburn,YO25,North Yorkshire,England
Kirkby,TS9,North Yorkshire,England
Kirkby Fleetham,DL7,North Yorkshire,England
Kirkby Hill,,North Yorkshire,England
Kirkby Malham,BD23,North Yorkshire,England
Kirkby Malzeard,HG4,North Yorkshire,England
Kirkby Mills,,North Yorkshire,England
Kirkby Overblow,HG3,North Yorkshire,England
Kirkby Wharfe,LS24,North Yorkshire,England
Kirkbymoorside,YO62,North Yorkshire,England
Kirkham,,North Yorkshire,England
Kirklington,DL8,North Yorkshire,England
Knapton,YO26,North Yorkshire,England
Knaresborough,HG5,North Yorkshire,England
Knavesmire,,North Yorkshire,England
Knayton,YO7,North Yorkshire,England
Knedlington,DN14,North Yorkshire,England
Knoll Top,,North Yorkshire,England
Kyle,,North Yorkshire,England
Ladies Riggs,,North Yorkshire,England
Lambwath Stream,,North Yorkshire,England
Lane Ends,,North Yorkshire,England
Langbar,LS29,North Yorkshire,England
Langbaurgh,,North Yorkshire,England
Langcliffe,BD24,North Yorkshire,England
Langthorne,DL8,North Yorkshire,England
Langthorpe,,North Yorkshire,England
Langthwaite,DL11,North Yorkshire,England
Langtoft,YO25,North Yorkshire,England
Langton,DL2,North Yorkshire,England
Lastingham,,North Yorkshire,England
Laver,,North Yorkshire,England
Laverton,HG4,North Yorkshire,England
Lawkland,LA2,North Yorkshire,England
Lawkland Green,,North Yorkshire,England
Laxton,DN14,North Yorkshire,England
Layerthorpe,,North Yorkshire,England
Laytham,,North Yorkshire,England
Leake,,North Yorkshire,England
Lealholm,YO21,North Yorkshire,England
Lealholm Side,,North Yorkshire,England
Lease Rigg,,North Yorkshire,England
Leathley,LS21,North Yorkshire,England
Leavening,YO17,North Yorkshire,England
Lebberston,YO11,North Yorkshire,England
Leconfield,,North Yorkshire,England
Leeds and Liverpool Canal,,North Yorkshire,England
Leeming,DL7,North Yorkshire,England
Leeming Bar,DL7,North Yorkshire,England
Leighton,HG4,North Yorkshire,England
Leighton Reservoir,,North Yorkshire,England
Lelley,,North Yorkshire,England
Leppington,YO17,North Yorkshire,England
Leven,,North Yorkshire,England
Leven Canal,,North Yorkshire,England
Levisham,YO18,North Yorkshire,England
Leyburn,DL8,North Yorkshire,England
Lindley,,North Yorkshire,England
Linton,BD23,North Yorkshire,England
Linton-on-Ouse,YO30,North Yorkshire,England
Lissett,YO25,North Yorkshire,England
Little Airmyn,,North Yorkshire,England
Little Ayton,TS9,North Yorkshire,England
Little Barugh,YO17,North Yorkshire,England
Little Catwick,,North Yorkshire,England
Little Crakehall,,North Yorkshire,England
Little Driffield,YO25,North Yorkshire,England
Little End,,North Yorkshire,England
Little Fencote,DL7,North Yorkshire,England
Little Fenton,LS25,North Yorkshire,England
Little Habton,YO17,North Yorkshire,England
Little Hatfield,,North Yorkshire,England
Little Heck,,North Yorkshire,England
Little Leven,,North Yorkshire,England
Little Ouseburn,,North Yorkshire,England
Little Reedness,,North Yorkshire,England
Little Ribston,LS22,North Yorkshire,England
Little Skipwith,,North Yorkshire,England
Little Smeaton,WF8,North Yorkshire,England
Little Stainforth,,North Yorkshire,England
Little Studley,,North Yorkshire,England
Little Weighton,,North Yorkshire,England
Littlethorpe,HG4,North Yorkshire,England
Litton,BD23,North Yorkshire,England
Lockington,YO25,North Yorkshire,England
Lockton,YO18,North Yorkshire,England
Lodge Green,,North Yorkshire,England
Lofthouse,HG3,North Yorkshire,England
Londesborough,,North Yorkshire,England
Long Drax,YO8,North Yorkshire,England
Long Marston,YO26,North Yorkshire,England
Long Preston,BD23,North Yorkshire,England
Long Riston,,North Yorkshire,England
Longscales,,North Yorkshire,England
Lothersdale,,North Yorkshire,England
Low Bradley,,North Yorkshire,England
Low Catton,,North Yorkshire,England
Low Coniscliffe,DL2,North Yorkshire,England
Low Dalby,,North Yorkshire,England
Low Ellington,,North Yorkshire,England
Low Garth,,North Yorkshire,England
Low Gate,,North Yorkshire,England
Low Grantley,,North Yorkshire,England
Low Green,,North Yorkshire,England
Low Hawsker,,North Yorkshire,England
Low Hutton,,North Yorkshire,England
Low Laithe,HG3,North Yorkshire,England
Low Marishes,YO17,North Yorkshire,England
Low Mill,,North Yorkshire,England
Low Row,DL11,North Yorkshire,England
Low Snaygill,,North Yorkshire,England
Low Whita,,North Yorkshire,England
Low Worsall,TS15,North Yorkshire,England
Lower Dunsforth,,North Yorkshire,England
Lower Westhouse,,North Yorkshire,England
Lowna,,North Yorkshire,England
Lowthorpe,YO25,North Yorkshire,England
Lumby,LS25,North Yorkshire,England
Lund,YO25,North Yorkshire,England
Malham,BD23,North Yorkshire,England
Malton,YO17,North Yorkshire,England
Manfield,DL2,North Yorkshire,England
Mappleton,,North Yorkshire,England
Market Weighton,YO4,North Yorkshire,England
Market Weighton Canal,,North Yorkshire,England
Markington,HG3,North Yorkshire,England
Marrick,DL11,North Yorkshire,England
Marsett,DL8,North Yorkshire,England
Marske,DL11,North Yorkshire,England
Marske Beck,,North Yorkshire,England
Marton,TS8,North Yorkshire,England
Marton-in-the-Forest,,North Yorkshire,England
Marton-le-Moor,HG4,North Yorkshire,England
Masham,HG4,North Yorkshire,England
Masongill,LA6,North Yorkshire,England
Maunby,YO7,North Yorkshire,England
Meagill,,North Yorkshire,England
Mearbeck,BD23,North Yorkshire,England
Meaux,,North Yorkshire,England
Melbourne,,North Yorkshire,England
Melmerby,DL8,North Yorkshire,England
Melsonby,DL10,North Yorkshire,England
Melton,,North Yorkshire,England
Meltonby,,North Yorkshire,England
Menethorpe,YO17,North Yorkshire,England
Menthorpe,,North Yorkshire,England
Mewith Head,,North Yorkshire,England
Mickleby,TS13,North Yorkshire,England
Mickley,HG4,North Yorkshire,England
Middlecave,,North Yorkshire,England
Middleham,DL8,North Yorkshire,England
Middlesbrough,TS8,North Yorkshire,England
Middlesmoor,HG3,North Yorkshire,England
Middlethorpe,,North Yorkshire,England
Middleton,LA6,North Yorkshire,England
Middleton on-the-Wolds,,North Yorkshire,England
Middleton One Row,DL2,North Yorkshire,England
Middleton Quernhow,HG4,North Yorkshire,England
Middleton Tyas,DL10,North Yorkshire,England
Middleton-on-Leven,TS15,North Yorkshire,England
Milby,,North Yorkshire,England
Mill Dam,,North Yorkshire,England
Mill Hirst,,North Yorkshire,England
Millington,,North Yorkshire,England
Minskip,,North Yorkshire,England
Mires Beck,,North Yorkshire,England
Molescroft,,North Yorkshire,England
Monk End,,North Yorkshire,England
Monk Fryston,LS25,North Yorkshire,England
Moor End,,North Yorkshire,England
Moor End Field,,North Yorkshire,England
Moor Monkton,,North Yorkshire,England
Moor Monkton Moor,,North Yorkshire,England
Moresdale Gill,,North Yorkshire,England
Morton-on-Swale,DL7,North Yorkshire,England
Moulton,DL10,North Yorkshire,England
Moxby,,North Yorkshire,England
Muker,DL11,North Yorkshire,England
Murton,YO19,North Yorkshire,England
Murton Grange,,North Yorkshire,England
Muscoates,,North Yorkshire,England
Muston,YO14,North Yorkshire,England
Myton Hall,,North Yorkshire,England
Myton-on-Swale,YO61,North Yorkshire,England
Naburn,,North Yorkshire,England
Nafferton,YO25,North Yorkshire,England
Nappa,BD23,North Yorkshire,England
Nappa Scar,,North Yorkshire,England
Nawton,,North Yorkshire,England
Near Hardcastle,,North Yorkshire,England
Nelly Ayre Foss,,North Yorkshire,England
Nether Poppleton,YO26,North Yorkshire,England
Nether Silton,YO7,North Yorkshire,England
New Arram,,North Yorkshire,England
New Earswick,YO32,North Yorkshire,England
New Ellerby,,North Yorkshire,England
New Houses,BD24,North Yorkshire,England
New Park,,North Yorkshire,England
New Road Side,,North Yorkshire,England
New Thirsk,,North Yorkshire,England
New Village,,North Yorkshire,England
New York,,North Yorkshire,England
Newbiggin,DL8,North Yorkshire,England
Newbridge,,North Yorkshire,England
Newby,LA2,North Yorkshire,England
Newby Cote,,North Yorkshire,England
Newby Wiske,DL7,North Yorkshire,England
Newhay,,North Yorkshire,England
Newholm,YO21,North Yorkshire,England
Newland,YO8,North Yorkshire,England
Newport,,North Yorkshire,England
Newsham,DL11,North Yorkshire,England
Newsholme,DN14,North Yorkshire,England
Newthorpe,LS25,North Yorkshire,England
Newton Kyme,LS24,North Yorkshire,England
Newton Morrell,DL10,North Yorkshire,England
Newton Mulgrave,TS13,North Yorkshire,England
Newton upon Derwent,,North Yorkshire,England
Newton-le-Willows,DL8,North Yorkshire,England
Newton-on-Ouse,YO30,North Yorkshire,England
Newton-on-Rawcliffe,YO18,North Yorkshire,England
Nidd,HG3,North Yorkshire,England
Norby,,North Yorkshire,England
Normanby,,North Yorkshire,England
North Cave,,North Yorkshire,England
North Channel,,North Yorkshire,England
North Cliffe,,North Yorkshire,England
North Cowton,DL7,North Yorkshire,England
North Dalton,YO25,North Yorkshire,England
North Deighton,LS22,North Yorkshire,England
North Duffield,YO8,North Yorkshire,England
North End,,North Yorkshire,England
North Ferriby,,North Yorkshire,England
North Frodingham,YO25,North Yorkshire,England
North Grimston,YO17,North Yorkshire,England
North Howden,,North Yorkshire,England
North Kilvington,YO7,North Yorkshire,England
North Lees,,North Yorkshire,England
North Newbald,,North Yorkshire,England
North Rigton,LS17,North Yorkshire,England
North Stainley,HG4,North Yorkshire,England
Northallerton,DL6,North Yorkshire,England
Northfield,,North Yorkshire,England
Norton-le-Clay,,North Yorkshire,England
Norton-on-Derwent,,North Yorkshire,England
Nosterfield,DL8,North Yorkshire,England
Nun Appleton,,North Yorkshire,England
Nun Monkton,,North Yorkshire,England
Nunburnholme,,North Yorkshire,England
Nunnington,YO62,North Yorkshire,England
Nunthorpe,,North Yorkshire,England
Nunwick,HG4,North Yorkshire,England
Nunwick Beck,,North Yorkshire,England
Oakdale,,North Yorkshire,England
Oatlands,,North Yorkshire,England
Old Byland,YO62,North Yorkshire,England
Old Ellerby,,North Yorkshire,England
Old Goole,DN14,North Yorkshire,England
Old Malton,YO17,North Yorkshire,England
Old Thirsk,,North Yorkshire,England
Old Town,LA6,North Yorkshire,England
Oldstead,,North Yorkshire,England
Osbaldwick,,North Yorkshire,England
Osgodby,YO11,North Yorkshire,England
Osgodby Common,,North Yorkshire,England
Osmotherley,DL6,North Yorkshire,England
Oswaldkirk,YO62,North Yorkshire,England
Otterburn,BD23,North Yorkshire,England
Ottringham,,North Yorkshire,England
Oughtershaw,BD23,North Yorkshire,England
Oulston,,North Yorkshire,England
Ouse,,North Yorkshire,England
Ousefleet,DN14,North Yorkshire,England
Out Newton,,North Yorkshire,England
Over Silton,YO7,North Yorkshire,England
Overton,YO30,North Yorkshire,England
Owstwick,,North Yorkshire,England
Owthorne,,North Yorkshire,England
Oxnop Beck,,North Yorkshire,England
Oxton,,North Yorkshire,England
Padside,HG3,North Yorkshire,England
Padside Green,,North Yorkshire,England
Painsthorpe,,North Yorkshire,England
Pannal,HG3,North Yorkshire,England
Pannal Ash,,North Yorkshire,England
Pateley Bridge,HG3,North Yorkshire,England
Patrick Brompton,DL8,North Yorkshire,England
Patrington,,North Yorkshire,England
Patrington Haven,,North Yorkshire,England
Paull,,North Yorkshire,England
Pickering,YO18,North Yorkshire,England
Pickering Beck,,North Yorkshire,England
Pickhill,YO7,North Yorkshire,England
Picton,TS15,North Yorkshire,England
Piercebridge,DL2,North Yorkshire,England
Pockley,YO62,North Yorkshire,England
Pocklington,YO4,North Yorkshire,England
Pocklington Canal,,North Yorkshire,England
Pollington,DN14,North Yorkshire,England
Poole,,North Yorkshire,England
Port Mulgrave,TS13,North Yorkshire,England
Potter Brompton,,North Yorkshire,England
Potto,DL6,North Yorkshire,England
Preston,,North Yorkshire,England
Preston-under-Scar,DL8,North Yorkshire,England
Primrose Valley,,North Yorkshire,England
Rainton,YO7,North Yorkshire,England
Rake Beck,,North Yorkshire,England
Ramsgill,HG3,North Yorkshire,England
Rascal Moor,,North Yorkshire,England
Raskelf,YO61,North Yorkshire,England
Rathmell,BD24,North Yorkshire,England
Ravenscar,YO13,North Yorkshire,England
Ravenseat,,North Yorkshire,England
Ravensworth,DL11,North Yorkshire,England
Raw,YO22,North Yorkshire,England
Rawcliffe,DN14,North Yorkshire,England
Rawcliffe Bridge,DN14,North Yorkshire,England
Raygill,,North Yorkshire,England
Redmire,DL8,North Yorkshire,England
Reedness,DN14,North Yorkshire,England
Reeth,DL11,North Yorkshire,England
Reighton,YO14,North Yorkshire,England
Ribble,,North Yorkshire,England
Ribble Head,,North Yorkshire,England
Riccal,,North Yorkshire,England
Riccall,YO19,North Yorkshire,England
Richmond,DL10,North Yorkshire,England
Rievaulx,,North Yorkshire,England
Rillington,YO17,North Yorkshire,England
Rimswell,,North Yorkshire,England
Rimswell Valley,,North Yorkshire,England
Ripley,HG3,North Yorkshire,England
Riplingham,,North Yorkshire,England
Ripon,HG4,North Yorkshire,England
Ripon Canal,,North Yorkshire,England
Risby,,North Yorkshire,England
Rise,,North Yorkshire,England
Risplith,HG4,North Yorkshire,England
River Crimple (Crimple Beck),,North Yorkshire,England
Roecliffe,,North Yorkshire,England
Rolston,,North Yorkshire,England
Romanby,DL7,North Yorkshire,England
Rookwith,HG4,North Yorkshire,England
Roos,,North Yorkshire,England
Roos Drain,,North Yorkshire,England
Rosedale Abbey,YO18,North Yorkshire,England
Rossett Green,,North Yorkshire,England
Rotsea,YO25,North Yorkshire,England
Roundhill Reservoir,,North Yorkshire,England
Routh,,North Yorkshire,England
Rowden,,North Yorkshire,England
Roxby,TS13,North Yorkshire,England
Royal Oak,,North Yorkshire,England
Rudby,TS15,North Yorkshire,England
Rudston,YO25,North Yorkshire,England
Rufforth,YO23,North Yorkshire,England
Runswick Bay,,North Yorkshire,England
Rushton,,North Yorkshire,England
Ruston Parva,YO25,North Yorkshire,England
Ruswarp,YO22,North Yorkshire,England
Rye,,North Yorkshire,England
Ryehill,,North Yorkshire,England
Rylstone,BD23,North Yorkshire,England
Ryther,LS24,North Yorkshire,England
Ryton,YO17,North Yorkshire,England
Salt End,,North Yorkshire,England
Saltburn-By-The-Sea,TS13,North Yorkshire,England
Saltmarshe,DN14,North Yorkshire,England
Salton,YO62,North Yorkshire,England
Sancton,,North Yorkshire,England
Sand Hole,,North Yorkshire,England
Sand Hutton,YO41,North Yorkshire,England
Sandholme,,North Yorkshire,England
Sandhutton,YO7,North Yorkshire,England
Sandsend,YO21,North Yorkshire,England
Satron,,North Yorkshire,England
Sawdon,YO13,North Yorkshire,England
Sawley,HG4,North Yorkshire,England
Saxton,LS24,North Yorkshire,England
Scackleton,,North Yorkshire,England
Scagglethorpe,YO17,North Yorkshire,England
Scalby,YO12,North Yorkshire,England
Scamland,,North Yorkshire,England
Scampston,YO17,North Yorkshire,England
Scar House Reservoir,,North Yorkshire,England
Scarborough,YO11,North Yorkshire,England
Scarthingwell,,North Yorkshire,England
Scawton,YO7,North Yorkshire,England
Scorborough,YO25,North Yorkshire,England
Scorborough Beck,,North Yorkshire,England
Scorton,DL10,North Yorkshire,England
Scotton,DL9,North Yorkshire,England
Scrayingham,YO41,North Yorkshire,England
Scriven,HG5,North Yorkshire,England
Scruton,DL7,North Yorkshire,England
Sea Cut,,North Yorkshire,England
Seamer,TS9,North Yorkshire,England
Seaton,,North Yorkshire,England
Seaton Ross,,North Yorkshire,England
Seave Green,TS9,North Yorkshire,England
Sedbusk,DL8,North Yorkshire,England
Selby,LS24,North Yorkshire,England
Selby Dam,,North Yorkshire,England
Selly Hill,,North Yorkshire,England
Selside,BD24,North Yorkshire,England
Seph,,North Yorkshire,England
Sessay,YO7,North Yorkshire,England
Settle,BD24,North Yorkshire,England
Settrington,YO17,North Yorkshire,England
Settrington Beck,,North Yorkshire,England
Seven,,North Yorkshire,England
Sewerby,,North Yorkshire,England
Sexhow,TS15,North Yorkshire,England
Sharow,HG4,North Yorkshire,England
Shaw Green,,North Yorkshire,England
Shaw Mills,HG3,North Yorkshire,England
Shawfield Head,,North Yorkshire,England
Sherburn,YO17,North Yorkshire,England
Sherburn in Elmet,LS25,North Yorkshire,England
Sheriff Hutton,,North Yorkshire,England
Shipton,YO30,North Yorkshire,England
Shiptonthorpe,,North Yorkshire,England
Sicklinghall,LS22,North Yorkshire,England
Sigglesthorne,,North Yorkshire,England
Silpho,YO13,North Yorkshire,England
Simonstone,,North Yorkshire,England
Sinderby,YO7,North Yorkshire,England
Sinnington,YO62,North Yorkshire,England
Skeeby,DL10,North Yorkshire,England
Skeffling,,North Yorkshire,England
Skell,,North Yorkshire,England
Skelton,DL11,North Yorkshire,England
Skelton on Ure,,North Yorkshire,England
Skerne,YO25,North Yorkshire,England
Skewsby,YO60,North Yorkshire,England
Skidby,,North Yorkshire,England
Skipsea,YO25,North Yorkshire,England
Skipsea Brough,,North Yorkshire,England
Skipton,BD23,North Yorkshire,England
Skipton-on-Swale,YO7,North Yorkshire,England
Skipwith,YO8,North Yorkshire,England
Skirethorns,,North Yorkshire,England
Skirlaugh,,North Yorkshire,England
Skirpenbeck,YO41,North Yorkshire,England
Skyreholme,,North Yorkshire,England
Sledmere,YO25,North Yorkshire,England
Sleights,YO22,North Yorkshire,England
Slingsby,,North Yorkshire,England
Smelthouses,HG3,North Yorkshire,England
Snainton,YO13,North Yorkshire,England
Snaith,DN14,North Yorkshire,England
Snape,DL8,North Yorkshire,England
Sneaton,YO22,North Yorkshire,England
Sneatonthorpe,YO22,North Yorkshire,England
Sockburn,DL2,North Yorkshire,England
South Bank,,North Yorkshire,England
South Cave,,North Yorkshire,England
South Cliffe,,North Yorkshire,England
South Dalton,,North Yorkshire,England
South Duffield,YO8,North Yorkshire,England
South End,,North Yorkshire,England
South Field,,North Yorkshire,England
South Holme,,North Yorkshire,England
South Kilvington,YO7,North Yorkshire,England
South Milford,LS25,North Yorkshire,England
South Newbald,,North Yorkshire,England
South Otterington,DL7,North Yorkshire,England
South Stainley,HG3,North Yorkshire,England
Southburn,YO25,North Yorkshire,England
Sowerby,YO7,North Yorkshire,England
Spacey Houses,,North Yorkshire,England
Spaldington,DN14,North Yorkshire,England
Spaunton,,North Yorkshire,England
Speeton,YO14,North Yorkshire,England
Spennithorne,DL8,North Yorkshire,England
Spittal,,North Yorkshire,England
Spofforth,HG3,North Yorkshire,England
Spring End,,North Yorkshire,England
Sproatley,,North Yorkshire,England
Sproxton,YO62,North Yorkshire,England
Spurn Head,,North Yorkshire,England
Stackhouse,BD24,North Yorkshire,England
Staddlethorpe,,North Yorkshire,England
Stainburn,LS21,North Yorkshire,England
Stainforth,BD24,North Yorkshire,England
Stainsacre,YO22,North Yorkshire,England
Stainton,DL11,North Yorkshire,England
Staintondale,YO13,North Yorkshire,England
Staithes,TS13,North Yorkshire,England
Stalling Busk,DL8,North Yorkshire,England
Stamford Bridge,YO4,North Yorkshire,England
Stape,YO18,North Yorkshire,England
Stapleton,DL2,North Yorkshire,England
Starbeck,,North Yorkshire,England
Starbotton,BD23,North Yorkshire,England
Staupes,,North Yorkshire,England
Staveley,HG5,North Yorkshire,England
Staxton,YO12,North Yorkshire,England
Stean,HG3,North Yorkshire,England
Stearsby,,North Yorkshire,England
Stillingfleet,YO19,North Yorkshire,England
Stillington,,North Yorkshire,England
Stirton,BD23,North Yorkshire,England
Stockton on the Forest,YO32,North Yorkshire,England
Stokesley,TS9,North Yorkshire,England
Stonegate,,North Yorkshire,England
Stonegrave,,North Yorkshire,England
Storiths,,North Yorkshire,England
Storwood,,North Yorkshire,England
Stream Dyke,,North Yorkshire,England
Street,YO21,North Yorkshire,England
Street Houses,,North Yorkshire,England
Streetlam,DL7,North Yorkshire,England
Strensall,YO32,North Yorkshire,England
Studfold,BD24,North Yorkshire,England
Studley Roger,HG4,North Yorkshire,England
Studley Royal,,North Yorkshire,England
Stutton,LS24,North Yorkshire,England
Suffield,YO13,North Yorkshire,England
Summerbridge,,North Yorkshire,England
Summerscales,,North Yorkshire,England
Sunk Island,,North Yorkshire,England
Sutton,DN6,North Yorkshire,England
Sutton Howgrave,DL8,North Yorkshire,England
Sutton Mill,,North Yorkshire,England
Sutton upon Derwent,YO41,North Yorkshire,England
Sutton-in-Craven,,North Yorkshire,England
Sutton-on-the-Forest,YO61,North Yorkshire,England
Sutton-under-Whitestonecliffe,YO7,North Yorkshire,England
Swainby,DL6,North Yorkshire,England
Swale,,North Yorkshire,England
Swanland,,North Yorkshire,England
Swetton,,North Yorkshire,England
Swincliffe,HG3,North Yorkshire,England
Swinden,,North Yorkshire,England
Swine,,North Yorkshire,England
Swinefleet,DN14,North Yorkshire,England
Swinithwaite,DL8,North Yorkshire,England
Swinsty Reservoir,,North Yorkshire,England
Swinton,HG4,North Yorkshire,England
Tadcaster,LS24,North Yorkshire,England
Tame Bridge,,North Yorkshire,England
Tancred,,North Yorkshire,England
Tang,,North Yorkshire,England
Tang Hall,,North Yorkshire,England
Tees,,North Yorkshire,England
Temple Hirst,YO8,North Yorkshire,England
Terrington,,North Yorkshire,England
The Beck,,North Yorkshire,England
The Grange,,North Yorkshire,England
The Lawns,,North Yorkshire,England
The Stell,,North Yorkshire,England
Theakston,DL8,North Yorkshire,England
Thearne,,North Yorkshire,England
Thimbleby,DL6,North Yorkshire,England
Thirkby Beck,,North Yorkshire,England
Thirlby,YO7,North Yorkshire,England
Thirn,HG4,North Yorkshire,England
Thirsk,YO7,North Yorkshire,England
Thirtleby,,North Yorkshire,England
Thixendale,YO17,North Yorkshire,England
Tholthorpe,,North Yorkshire,England
Thoralby,DL8,North Yorkshire,England
Thorganby,,North Yorkshire,England
Thorgill,YO18,North Yorkshire,England
Thorlby,BD23,North Yorkshire,England
Thormanby,,North Yorkshire,England
Thornborough,DL8,North Yorkshire,England
Thorngumbald,,North Yorkshire,England
Thornholme,YO25,North Yorkshire,England
Thorns,,North Yorkshire,England
Thornthwaite,HG3,North Yorkshire,England
Thornton,TS8,North Yorkshire,England
Thornton in Lonsdale,,North Yorkshire,England
Thornton Rust,DL8,North Yorkshire,England
Thornton Steward,HG4,North Yorkshire,England
Thornton Watlass,HG4,North Yorkshire,England
Thornton-le-Beans,DL6,North Yorkshire,England
Thornton-le-Clay,,North Yorkshire,England
Thornton-le-Dale,YO18,North Yorkshire,England
Thornton-le-Moor,DL7,North Yorkshire,England
Thornton-le-Street,YO7,North Yorkshire,England
Thorpe,BD23,North Yorkshire,England
Thorpe Bassett,YO17,North Yorkshire,England
Thorpe le Street,,North Yorkshire,England
Thorpe Underwood,YO26,North Yorkshire,England
Thorpe Willoughby,YO8,North Yorkshire,England
Thorpe Wood,,North Yorkshire,England
Threapland,BD23,North Yorkshire,England
Threshfield,BD23,North Yorkshire,England
Thrintoft,DL7,North Yorkshire,England
Throxenby,,North Yorkshire,England
Thruscross,,North Yorkshire,England
Thruscross Reservoir,,North Yorkshire,England
Thwaite,DL11,North Yorkshire,England
Thwing,YO25,North Yorkshire,England
Tibthorpe,YO25,North Yorkshire,England
Tickton,,North Yorkshire,England
Timble,LS21,North Yorkshire,England
Tockwith,YO5,North Yorkshire,England
Tollerton,YO61,North Yorkshire,England
Topcliffe,YO7,North Yorkshire,England
Toulston,LS24,North Yorkshire,England
Town End,,North Yorkshire,England
Town Head,,North Yorkshire,England
Towthorpe,YO25,North Yorkshire,England
Towton,LS24,North Yorkshire,England
Troutsdale Beck,,North Yorkshire,England
Tunstall,DL10,North Yorkshire,England
Uckerby,DL10,North Yorkshire,England
Ugglebarnby,YO22,North Yorkshire,England
Ugthorpe,YO21,North Yorkshire,England
Ulleskelf,LS24,North Yorkshire,England
Ulrome,YO25,North Yorkshire,England
Ulshaw,,North Yorkshire,England
Upper Dunsforth,,North Yorkshire,England
Upper Helmsley,,North Yorkshire,England
Upper Poppleton,YO26,North Yorkshire,England
Upsall,YO7,North Yorkshire,England
Upton,,North Yorkshire,England
Ure,,North Yorkshire,England
Ure Bank,,North Yorkshire,England
Urra,TS9,North Yorkshire,England
Wake Hill,,North Yorkshire,England
Walden,DL8,North Yorkshire,England
Walden Beck,,North Yorkshire,England
Walkerville,,North Yorkshire,England
Walkington,,North Yorkshire,England
Walmgate Stray,,North Yorkshire,England
Walshford,,North Yorkshire,England
Wansford,YO25,North Yorkshire,England
Warlaby,DL7,North Yorkshire,England
Warsill,,North Yorkshire,England
Warter,,North Yorkshire,England
Warthermarske,,North Yorkshire,England
Warthill,YO19,North Yorkshire,England
Washburn,,North Yorkshire,England
Washfold,DL11,North Yorkshire,England
Wass,,North Yorkshire,England
Water End,,North Yorkshire,England
Water Houses,,North Yorkshire,England
Wath,HG4,North Yorkshire,England
Watton,YO25,North Yorkshire,England
Wawne,,North Yorkshire,England
Waxholme,,North Yorkshire,England
Weaverthorpe,YO17,North Yorkshire,England
Weel,,North Yorkshire,England
Weeton,LS17,North Yorkshire,England
Welburn,YO60,North Yorkshire,England
Welbury,DL6,North Yorkshire,England
Welhambridge,,North Yorkshire,England
Well,DL8,North Yorkshire,England
Welton,,North Yorkshire,England
Welwick,,North Yorkshire,England
Wenning,,North Yorkshire,England
Wensley,DL8,North Yorkshire,England
Went,,North Yorkshire,England
Wescoe Hill,,North Yorkshire,England
West Appleton,,North Yorkshire,England
West Ayton,YO13,North Yorkshire,England
West Barnby,YO21,North Yorkshire,England
West Burton,DL8,North Yorkshire,England
West Cliff,,North Yorkshire,England
West Cowick,,North Yorkshire,England
West Ella,,North Yorkshire,England
West End,HG3,North Yorkshire,England
West Field,,North Yorkshire,England
West Haddlesey,YO8,North Yorkshire,England
West Harlsey,,North Yorkshire,England
West Heslerton,YO17,North Yorkshire,England
West Hill,,North Yorkshire,England
West Knapton,YO17,North Yorkshire,England
West Layton,DL11,North Yorkshire,England
West Lilling,,North Yorkshire,England
West Lutton,YO17,North Yorkshire,England
West Marton,BD23,North Yorkshire,England
West Ness,,North Yorkshire,England
West Newton,,North Yorkshire,England
West Rounton,DL6,North Yorkshire,England
West Scrafton,DL8,North Yorkshire,England
West Stonesdale,DL11,North Yorkshire,England
West Tanfield,HG4,North Yorkshire,England
West Witton,DL8,North Yorkshire,England
Westerdale,YO21,North Yorkshire,England
Westhill,,North Yorkshire,England
Westhouse,LA6,North Yorkshire,England
Westow,,North Yorkshire,England
Wetwang,YO25,North Yorkshire,England
Wharfe,LA2,North Yorkshire,England
Wharram le Street,YO17,North Yorkshire,England
Wharram Percy,YO17,North Yorkshire,England
Whashton,DL11,North Yorkshire,England
Whaw,DL11,North Yorkshire,England
Wheedale Gill,,North Yorkshire,England
Wheeldale Beck,,North Yorkshire,England
Wheeldale Gill,,North Yorkshire,England
Wheldrake,YO19,North Yorkshire,England
Whenby,,North Yorkshire,England
Whitby,YO21,North Yorkshire,England
Whitewall Corner,,North Yorkshire,England
Whitgift,DN14,North Yorkshire,England
Whitley,DN14,North Yorkshire,England
Whitley Bridge,,North Yorkshire,England
Whitley Thorpe,,North Yorkshire,England
Whitsundale Beck,,North Yorkshire,England
Whitwell,DL10,North Yorkshire,England
Whitwell-on-the-Hill,,North Yorkshire,England
Whity Gill,,North Yorkshire,England
Whixley,,North Yorkshire,England
Whorlton,DL6,North Yorkshire,England
Wiganthorpe,,North Yorkshire,England
Wigginton,YO32,North Yorkshire,England
Wigglesworth,BD23,North Yorkshire,England
Wighill,LS24,North Yorkshire,England
Wilberfoss,YO41,North Yorkshire,England
Willerby,YO12,North Yorkshire,England
Willitoft,YO8,North Yorkshire,England
Willow Beck,,North Yorkshire,England
Wilsill,HG3,North Yorkshire,England
Wilton,YO18,North Yorkshire,England
Winestead,,North Yorkshire,England
