,,Somerset,England
Oakhill,BA3,Somerset,England
Oare,EX35,Somerset,England
Oareford,,Somerset,England
Oath,,Somerset,England
Odcombe,BA22,Somerset,England
Odd Down,,Somerset,England
Old Cleeve,TA24,Somerset,England
Old Ditch,,Somerset,England
Old Down,,Somerset,England
Old Way,,Somerset,England
Oldfield Park,,Somerset,England
Oldford,BA11,Somerset,England
Oldmixon,,Somerset,England
Orchard Portman,TA3,Somerset,England
Othery,TA7,Somerset,England
Otterford,,Somerset,England
Otterhampton,TA5,Somerset,England
Outwood,,Somerset,England
Over Stowey,TA5,Somerset,England
Over Stratton,TA13,Somerset,England
Overleigh,BA16,Somerset,England
Oxenpill,,Somerset,England
Paintmoor,,Somerset,England
Panborough,BA5,Somerset,England
Parbrook,BA6,Somerset,England
Parchey,,Somerset,England
Park,,Somerset,England
Park Corner,,Somerset,England
Park End,,Somerset,England
Parkway,,Somerset,England
Parrett,,Somerset,England
Pathe,TA7,Somerset,England
Paulton,,Somerset,England
Pawlett,TA6,Somerset,England
Pawlett Hill,,Somerset,England
Payton,,Somerset,England
Pear Ash,,Somerset,England
Peasedown St John,,Somerset,England
Peasmarsh,,Somerset,England
Pecking Mill,,Somerset,England
Pedwell,TA7,Somerset,England
Pen Mill,,Somerset,England
Pendomer,BA22,Somerset,England
Penselwood,BA9,Somerset,England
Pensford,,Somerset,England
Periton,,Somerset,England
Perry Green,,Somerset,England
Perry Street,,Somerset,England
Perrymead,,Somerset,England
Pibsbury,TA10,Somerset,England
Pickney,,Somerset,England
Pightley,,Somerset,England
Pill,,Somerset,England
Pilton,BA4,Somerset,England
Piltown,,Somerset,England
Pinksmoor,,Somerset,England
Pipehouse,,Somerset,England
Pitcombe,BA10,Somerset,England
Pitcot,,Somerset,England
Pitminster,TA3,Somerset,England
Pitney,TA10,Somerset,England
Pitsford Hill,TA4,Somerset,England
Plainsfield,,Somerset,England
Pleamore Cross,,Somerset,England
Plot Gate,,Somerset,England
Plot Street,,Somerset,England
Podimore,BA22,Somerset,England
Poleshill,,Somerset,England
Polsham,BA5,Somerset,England
Pond Close,,Somerset,England
Poole,,Somerset,England
Pooltown,,Somerset,England
Porlock,TA24,Somerset,England
Porlock Weir,TA24,Somerset,England
Porlockford,,Somerset,England
Portbury,,Somerset,England
Portfield,,Somerset,England
Portishead,,Somerset,England
Portland,,Somerset,England
Portway,,Somerset,England
Potters Hill,,Somerset,England
Pound,,Somerset,England
Prestleigh,BA4,Somerset,England
Preston Bowyer,,Somerset,England
Preston Plucknett,BA21,Somerset,England
Priddy,BA5,Somerset,England
Priest Down,,Somerset,England
Primrose Hill,,Somerset,England
Priorswood,,Somerset,England
Priston,,Somerset,England
Publow,,Somerset,England
Puckington,TA19,Somerset,England
Puddlebridge,,Somerset,England
Pudleigh,,Somerset,England
Puriton,TA7,Somerset,England
Purn,,Somerset,England
Purtington,,Somerset,England
Puxton,BS24,Somerset,England
Pyleigh,,Somerset,England
Pylle,BA4,Somerset,England
Pyrland,,Somerset,England
Quantock Hills,,Somerset,England
Queen Camel,BA22,Somerset,England
Queen Charlton,,Somerset,England
Rackley,,Somerset,England
Radford,,Somerset,England
Radlet,,Somerset,England
Radstock,BA3,Somerset,England
Rapps,,Somerset,England
Redcliffe Bay,,Somerset,England
Redhill,,Somerset,England
Redlands,,Somerset,England
Redlane,,Somerset,England
Redlynch,BA10,Somerset,England
Regil,,Somerset,England
Rhode,,Somerset,England
Rickford,,Somerset,England
Ridge,,Somerset,England
Ridgeway,,Somerset,England
Riding Gate,,Somerset,England
Rimpton,BA22,Somerset,England
Roadwater,TA23,Somerset,England
Rock,,Somerset,England
Rockley Ford,,Somerset,England
Rockwell Green,TA21,Somerset,England
Rode,BA3,Somerset,England
Rode Hill,,Somerset,England
Rodgrove,,Somerset,England
Rodhuish,TA24,Somerset,England
Rodney Stoke,BS27,Somerset,England
Rodway,TA5,Somerset,England
Rolstone,,Somerset,England
Rooks Bridge,BS26,Somerset,England
Rotcombe,,Somerset,England
Roughmoor,,Somerset,England
Roundham,,Somerset,England
Rowbarton,,Somerset,England
Rowberrow,BS25,Somerset,England
Rowford,,Somerset,England
Royston Water,,Somerset,England
Rudge,BA11,Somerset,England
Ruggin,,Somerset,England
Ruishton,TA3,Somerset,England
Rumwell,TA4,Somerset,England
Runnington,TA21,Somerset,England
Rush Hill,,Somerset,England
Saltford,,Somerset,England
Sampford Arundel,TA21,Somerset,England
Sampford Brett,TA4,Somerset,England
Sand,,Somerset,England
Sand Point,,Somerset,England
Sandford,BS25,Somerset,England
Sandford Batch,,Somerset,England
Sandylands,,Somerset,England
Scrapton,,Somerset,England
Screedy,,Somerset,England
Sea,,Somerset,England
Seavington St Mary,TA19,Somerset,England
Seavington St Michael,TA19,Somerset,England
Selworthy,TA24,Somerset,England
Seven Ash,,Somerset,England
Shalford,,Somerset,England
Shapwick,TA7,Somerset,England
Sharpstone,,Somerset,England
Shawford,,Somerset,England
Shearston,,Somerset,England
Sheepway,,Somerset,England
Shepton Beauchamp,TA19,Somerset,England
Shepton Mallet,BA4,Somerset,England
Shepton Montague,BA7,Somerset,England
Sherborne,DT9,Somerset,England
Sherford,,Somerset,England
Shipham,BS25,Somerset,England
Shiplate,,Somerset,England
Shopnoller,,Somerset,England
Shoreditch,,Somerset,England
Shoscombe,,Somerset,England
Shoscombe Vale,,Somerset,England
Shurton,TA5,Somerset,England
Sidbrook,,Somerset,England
Sidcot,BS25,Somerset,England
Sigwells,,Somerset,England
Silver Knap,,Somerset,England
Silver Street,,Somerset,England
Simonsbath,TA24,Somerset,England
Single Hill,,Somerset,England
Sion Hill,,Somerset,England
Skilgate,TA4,Somerset,England
Slape Cross,,Somerset,England
Slough Green,,Somerset,England
Small Way,,Somerset,England
Snails Hill,,Somerset,England
Sneyd Park,,Somerset,England
Soho,,Somerset,England
Somerdale,,Somerset,England
Somerton,TA11,Somerset,England
Somerton Hill,,Somerset,England
South Barrow,BA22,Somerset,England
South Brewham,BA10,Somerset,England
South Cadbury,BA22,Somerset,England
South Chard,TA20,Somerset,England
South Cheriton,BA8,Somerset,England
South Down,,Somerset,England
South Hill,,Somerset,England
South Petherton,TA13,Somerset,England
South Twerton,,Somerset,England
South Widcombe,,Somerset,England
Southay,,Somerset,England
Southdown,,Somerset,England
Southmarsh,,Somerset,England
Southstoke,,Somerset,England
Southtown,,Somerset,England
Southway,BA5,Somerset,England
Southwick,,Somerset,England
Southwood,BA6,Somerset,England
Sparkford,BA22,Somerset,England
Sparrow Hill,,Somerset,England
Spaxton,TA5,Somerset,England
Speckington,,Somerset,England
Splatt,,Somerset,England
Spring Gardens,,Somerset,England
St Catherine,,Somerset,England
St Decumans,TA23,Somerset,England
St Georges,,Somerset,England
St Michael Church,,Somerset,England
Stamborough,,Somerset,England
Standerwick,,Somerset,England
Stanton Drew,,Somerset,England
Stanton Prior,,Somerset,England
Stanton Wick,,Somerset,England
Staple Fitzpaine,TA3,Somerset,England
Staple Lawns,,Somerset,England
Staplegrove,TA2,Somerset,England
Staplehay,,Somerset,England
Stapleton,TA12,Somerset,England
Stapley,TA3,Somerset,England
Stathe,TA7,Somerset,England
Stawell,TA7,Somerset,England
Stawley,TA21,Somerset,England
Steanbow,,Somerset,England
Steart,TA5,Somerset,England
Steep Holm,,Somerset,England
Stembridge,,Somerset,England
Stewley,,Somerset,England
Sticklepath,,Somerset,England
Sticklinch,,Somerset,England
Stileway,,Somerset,England
Stock,,Somerset,England
Stockland Bristol,TA5,Somerset,England
Stocklinch,TA19,Somerset,England
Stockwitch Cross,,Somerset,England
Stockwood Vale,,Somerset,England
Stoford,BA22,Somerset,England
Stogumber,TA4,Somerset,England
Stogursey,TA5,Somerset,England
Stoke St Gregory,TA3,Somerset,England
Stoke St Mary,TA3,Somerset,England
Stoke St Michael,BA3,Somerset,England
Stoke Sub Hamdon,,Somerset,England
Stoke Trister,BA9,Somerset,England
Stolford,TA5,Somerset,England
Ston Easton,BA3,Somerset,England
Stone,,Somerset,England
Stone Allerton,BS26,Somerset,England
Stone-edge Batch,,Somerset,England
Stonebridge,,Somerset,England
Stoney Stoke,BA9,Somerset,England
Stoney Stratton,BA4,Somerset,England
Stony Littleton,,Somerset,England
Stoughton Cross,,Somerset,England
Stout,,Somerset,England
Stowell,DT9,Somerset,England
Stowey,,Somerset,England
Stratton-on-the-Fosse,BA3,Somerset,England
Street,BA16,Somerset,England
Street Ash,,Somerset,England
Street on the Fosse,BA4,Somerset,England
Stretcholt,TA6,Somerset,England
Stringston,TA5,Somerset,England
Strode,,Somerset,England
Summerlands,,Somerset,England
Sutton,,Somerset,England
Sutton Bingham,,Somerset,England
Sutton Mallet,TA7,Somerset,England
Sutton Montis,BA22,Somerset,England
Sutton Wick,,Somerset,England
Sweethay,,Somerset,England
Swell,TA3,Somerset,England
Sydenham,,Somerset,England
Tacker Street,,Somerset,England
Tadhill,,Somerset,England
Tadwick,,Somerset,England
Tarnock,BS26,Somerset,England
Tatworth,TA20,Somerset,England
Taunton,TA1,Somerset,England
Tellisford,BA3,Somerset,England
Temple Cloud,,Somerset,England
Templecombe,BA8,Somerset,England
Terhill,,Somerset,England
The Common,,Somerset,England
The Oval,,Somerset,England
The Wrangle,,Somerset,England
Theale,BS28,Somerset,England
Thicket Mead,,Somerset,England
Thorne Coffin,,Somerset,England
Thorne St Margaret,TA21,Somerset,England
Thorney,TA10,Somerset,England
Thornfalcon,,Somerset,England
Thorngrove,TA7,Somerset,England
Three Ashes,,Somerset,England
Thrupe,,Somerset,England
Thurlbear,TA3,Somerset,England
Thurloxton,TA2,Somerset,England
Tickenham,,Somerset,England
Timberscombe,TA24,Somerset,England
Timsbury,BA3,Somerset,England
Tintinhull,BA22,Somerset,England
Tivington,,Somerset,England
Tivington Knowle,,Somerset,England
Tolland,TA4,Somerset,England
Tone,,Somerset,England
Tone Green,,Somerset,England
Tonedale,,Somerset,England
Torre,,Somerset,England
Toulton,TA4,Somerset,England
Towerhead,,Somerset,England
Towns End,,Somerset,England
Townsend,,Somerset,England
Treborough,TA23,Somerset,England
Triscombe,,Somerset,England
Trudoxhill,BA11,Somerset,England
Trull,TA3,Somerset,England
Tuckerton,,Somerset,England
Tucking Mill,,Somerset,England
Tunley,,Somerset,England
Twerton,,Somerset,England
Twinhoe,,Somerset,England
Tyning,,Somerset,England
Tyntesfield,,Somerset,England
Tytherington,BA11,Somerset,England
Ubley,,Somerset,England
Udley,,Somerset,England
Up Mudford,,Somerset,England
Upcott,,Somerset,England
Uphill,,Somerset,England
Uphill Manor,,Somerset,England
Upper Canada,,Somerset,England
Upper Cheddon,,Somerset,England
Upper Croxley,,Somerset,England
Upper Fivehead,,Somerset,England
Upper Godney,BA5,Somerset,England
Upper Langford,,Somerset,England
Upper Littleton,,Somerset,England
Upper Milton,,Somerset,England
Upper Stanton Drew,,Somerset,England
Upper Swainswick,,Somerset,England
Upper Town,,Somerset,England
Upper Vobster,,Somerset,England
Upper Westholme,,Somerset,England
Upper Weston,,Somerset,England
Upton,TA4,Somerset,England
Upton Noble,BA4,Somerset,England
Urgashay,,Somerset,England
Vagg,,Somerset,England
Vellow,TA4,Somerset,England
Vobster,BA3,Somerset,England
Vole,,Somerset,England
Voxmoor,,Somerset,England
Wadeford,TA20,Somerset,England
Wagg,,Somerset,England
Walcombe,,Somerset,England
Walcot,,Somerset,England
Wales,,Somerset,England
Walford,,Somerset,England
Wall Mead,,Somerset,England
Walpole,,Somerset,England
Walrow,,Somerset,England
Walton,BA16,Somerset,England
Walton St Mary,,Somerset,England
Walton-in-Gordano,,Somerset,England
Wambrook,TA20,Somerset,England
Wanstrow,BA4,Somerset,England
Warleigh,,Somerset,England
Washbrook,,Somerset,England
Washford,TA23,Somerset,England
Watchet,TA23,Somerset,England
Watchfield,TA9,Somerset,England
Watergore,,Somerset,England
Waterlip,,Somerset,England
Waterrow,TA4,Somerset,England
Way Wick,,Somerset,England
Wayford,TA18,Somerset,England
Weacombe,,Somerset,England
Weare,BS26,Somerset,England
Wearne,TA10,Somerset,England
Webbington,,Somerset,England
Wedmore,BS28,Somerset,England
Weekmoor,,Somerset,England
Welham,,Somerset,England
Wellington,TA21,Somerset,England
Wellisford,,Somerset,England
Wellow,,Somerset,England
Wells,BA5,Somerset,England
Wellsprings,,Somerset,England
Welton,BA3,Somerset,England
Wembdon,TA6,Somerset,England
West Bagborough,TA4,Somerset,England
West Bradley,BA6,Somerset,England
West Buckland,TA21,Somerset,England
West Camel,BA22,Somerset,England
West Chinnock,TA18,Somerset,England
West Coker,BA22,Somerset,England
West Compton,BA4,Somerset,England
West End,,Somerset,England
West Harptree,,Somerset,England
West Hatch,TA3,Somerset,England
West Hewish,,Somerset,England
West Hill,,Somerset,England
West Horrington,BA5,Somerset,England
West Howetown,,Somerset,England
West Huntspill,TA9,Somerset,England
West Lambrook,TA13,Somerset,England
West Leigh,,Somerset,England
West Luccombe,,Somerset,England
West Lydford,TA11,Somerset,England
West Lyng,TA3,Somerset,England
West Monkton,TA2,Somerset,England
West Mudford,,Somerset,England
West Newton,,Somerset,England
West Pennard,BA6,Somerset,England
West Porlock,TA24,Somerset,England
West Quantoxhead,TA4,Somerset,England
West Shepton,,Somerset,England
West Stoke,,Somerset,England
West Stoughton,BS28,Somerset,England
West Town,,Somerset,England
West Wick,BS24,Somerset,England
West Woodlands,BA11,Somerset,England
West Yeo,,Somerset,England
Westbury-sub-Mendip,BA5,Somerset,England
Westcombe,BA4,Somerset,England
Westfield,,Somerset,England
Westford,,Somerset,England
Westham,TA7,Somerset,England
Westhay,BA6,Somerset,England
Weston,,Somerset,England
Weston Bampfylde,,Somerset,England
Weston Park,,Somerset,England
Weston Town,,Somerset,England
Weston-in-Gordano,,Somerset,England
Weston-super-Mare,,Somerset,England
Westonzoyland,TA7,Somerset,England
Westowe,,Somerset,England
Westport,TA10,Somerset,England
Westwood,,Somerset,England
Whatley,BA11,Somerset,England
Wheathill,,Somerset,England
Wheddon Cross,TA24,Somerset,England
Whitchurch,,Somerset,England
Whitcombe,,Somerset,England
White Ball,,Somerset,England
White Cross,,Somerset,England
White Gate,,Somerset,England
White Hill,,Somerset,England
White Ox Mead,,Somerset,England
Whitecross,,Somerset,England
Whitefield,,Somerset,England
Whitelackington,TA19,Somerset,England
Whitestaunton,TA20,Somerset,England
Whiteway,,Somerset,England
Whitnell,,Somerset,England
Whitney Bottom,,Somerset,England
Wick,,Somerset,England
Wick St Lawrence,,Somerset,England
Wicklane,,Somerset,England
Widcombe,,Somerset,England
Wigborough,,Somerset,England
Wilkin Throop,,Somerset,England
Willand,,Somerset,England
Willett,TA4,Somerset,England
Willhayne,,Somerset,England
Williton,TA4,Somerset,England
Wilmington,,Somerset,England
Wilton,TA1,Somerset,England
Wiltown,,Somerset,England
Wincanton,BA9,Somerset,England
Windmill Hill,TA19,Somerset,England
Windwhistle,,Somerset,England
Winford,,Somerset,England
Winscombe,BS25,Somerset,England
Winsford,TA24,Somerset,England
Winsham,TA20,Somerset,England
Winsley,,Somerset,England
Winter Well,,Somerset,England
Winterfield,,Somerset,England
Winterhay Green,,Somerset,England
Winterhead,,Somerset,England
Witcombe,TA12,Somerset,England
Witham Friary,BA11,Somerset,England
Withial,,Somerset,England
Withiel Florey,TA24,Somerset,England
Withy Mills,,Somerset,England
Withybrook,,Somerset,England
Withycombe,TA24,Somerset,England
Withyditch,,Somerset,England
Withypool,TA24,Somerset,England
Withywood,,Somerset,England
Wiveliscombe,TA4,Somerset,England
Wonderstone,,Somerset,England
Wood,,Somerset,England
Woodcombe,,Somerset,England
Woodford,,Somerset,England
Woodhill,,Somerset,England
Woodlands,,Somerset,England
Woodram,,Somerset,England
Woodspring Priory,,Somerset,England
Wookey,BA5,Somerset,England
Wookey Hole,BA5,Somerset,England
Woolavington,TA7,Somerset,England
Woollard,,Somerset,England
Woolley,,Somerset,England
Woolmersdon,TA5,Somerset,England
Woolminstone,,Somerset,England
Woolston,,Somerset,England
Woolvers Hill,,Somerset,England
Woolverton,BA3,Somerset,England
Wootton Courtenay,TA24,Somerset,England
Worle,,Somerset,England
Worlebury,,Somerset,England
Worminster,BA4,Somerset,England
Worth,,Somerset,England
Worthy,,Somerset,England
Wrangway,TA21,Somerset,England
Wrantage,TA3,Somerset,England
Wraxall,BA4,Somerset,England
Wreath,,Somerset,England
Wrington,,Somerset,England
Writhlington,BA3,Somerset,England
Wyke Champflower,,Somerset,England
Yanley,,Somerset,England
Yarberry,,Somerset,England
Yarde,,Somerset,England
Yarford,,Somerset,England
Yarley,BA5,Somerset,England
Yarlington,BA9,Somerset,England
Yarrow,,Somerset,England
Yarty,,Somerset,England
Yatton,,Somerset,England
Yeabridge,,Somerset,England
Yenston,BA8,Somerset,England
Yeo,,Somerset,England
Yeovil,BA20,Somerset,England
Yeovil Marsh,BA21,Somerset,England
Yeovilton,BA22,Somerset,England
