,,West Yorkshire,England
West Ardsley,,West Yorkshire,England
West Bowling,,West Yorkshire,England
West Bretton,WF4,West Yorkshire,England
West Carlton,,West Yorkshire,England
West End,,West Yorkshire,England
West Garforth,LS25,West Yorkshire,England
West Hardwick,WF4,West Yorkshire,England
West Morton,,West Yorkshire,England
West Park,,West Yorkshire,England
West Royd,,West Yorkshire,England
West Scholes,,West Yorkshire,England
Westfield,,West Yorkshire,England
Westgate Hill,BD4,West Yorkshire,England
Weston,,West Yorkshire,England
Wetherby,LS22,West Yorkshire,England
Wheldale,,West Yorkshire,England
Whinmoor,LS14,West Yorkshire,England
Whins Wood,,West Yorkshire,England
White Hill,,West Yorkshire,England
White Lee,,West Yorkshire,England
Whitecote,,West Yorkshire,England
Whitkirk,LS15,West Yorkshire,England
Whitley Head,,West Yorkshire,England
Whitley Lower,WF12,West Yorkshire,England
Whitwood,WF10,West Yorkshire,England
Wibsey,BD6,West Yorkshire,England
Wike,LS17,West Yorkshire,England
Wilberlee,,West Yorkshire,England
Wilsden,BD15,West Yorkshire,England
Wilsden Hill,,West Yorkshire,England
Wilshaw,,West Yorkshire,England
Wilton,,West Yorkshire,England
Windhill,,West Yorkshire,England
Windmill Hill,,West Yorkshire,England
Wintersett,WF4,West Yorkshire,England
Wintersett Reservoir,,West Yorkshire,England
Wood Row,,West Yorkshire,England
Woodhall Hills,,West Yorkshire,England
Woodhouse,LS2,West Yorkshire,England
Woodkirk,,West Yorkshire,England
Woodlesford,LS26,West Yorkshire,England
Wooldale,,West Yorkshire,England
Woolgreaves,,West Yorkshire,England
Woolley,WF4,West Yorkshire,England
Wortley,LS12,West Yorkshire,England
Wragby,,West Yorkshire,England
Wrangbrook,,West Yorkshire,England
Wrenthorpe,WF2,West Yorkshire,England
Wrose,,West Yorkshire,England
Wyke,BD12,West Yorkshire,England
Yeadon,LS19,West Yorkshire,England
Yearby,,West Yorkshire,England
