,,Lancashire,England
Ringley,,Lancashire,England
Rishton,BB1,Lancashire,England
Rising Bridge,BB5,Lancashire,England
Riverside Docklands,,Lancashire,England
Rivington,BL6,Lancashire,England
Roach Bridge,,Lancashire,England
Robin Hood,,Lancashire,England
Roby Mill,WN8,Lancashire,England
Rochdale,OL12,Lancashire,England
Rochdale Canal,,Lancashire,England
Roche,,Lancashire,England
Rockcliffe,,Lancashire,England
Roe Lee,,Lancashire,England
Roebuck Low,,Lancashire,England
Rose Grove,,Lancashire,England
Rose Hill,,Lancashire,England
Roseacre,PR4,Lancashire,England
Rosehill,,Lancashire,England
Rough Bank,,Lancashire,England
Roughlee,BB9,Lancashire,England
Royton,,Lancashire,England
Rufford,L40,Lancashire,England
Running Hill Head,,Lancashire,England
Runshaw Moor,,Lancashire,England
Sabden,BB7,Lancashire,England
Salesbury,BB1,Lancashire,England
Saltcotes,FY8,Lancashire,England
Salterforth,BB8,Lancashire,England
Samlesbury,PR5,Lancashire,England
Samlesbury Bottoms,PR5,Lancashire,England
Sand Side,,Lancashire,England
Sandhills,,Lancashire,England
Sandy Brook,,Lancashire,England
Sandylands,LA3,Lancashire,England
Sawley,BB7,Lancashire,England
Scaitcliffe,,Lancashire,England
Scale Hall,,Lancashire,England
Scarisbrick,L40,Lancashire,England
Scarth Hill,L40,Lancashire,England
Scholes,,Lancashire,England
Scorton,PR3,Lancashire,England
Scot Lane End,,Lancashire,England
Scotforth,LA1,Lancashire,England
Scouthead,,Lancashire,England
Scronkey,,Lancashire,England
Seed Lee,,Lancashire,England
Sefton Park,,Lancashire,England
Shadsworth,BB1,Lancashire,England
Shakerley,,Lancashire,England
Sharneyford,,Lancashire,England
Sharoe Green,PR2,Lancashire,England
Sharples,,Lancashire,England
Shaw,,Lancashire,England
Shaw Green,,Lancashire,England
Shaw Side,,Lancashire,England
Shawclough,OL12,Lancashire,England
Shawfield,,Lancashire,England
Shawforth,OL12,Lancashire,England
Sherfin,,Lancashire,England
Shevington,WN6,Lancashire,England
Shevington Moor,WN6,Lancashire,England
Shevington Vale,,Lancashire,England
Shirdley Hill,PR8,Lancashire,England
Sholver,,Lancashire,England
Shore,FY4,Lancashire,England
Shuttleworth,BL0,Lancashire,England
Side of the Moor,,Lancashire,England
Silverdale,LA5,Lancashire,England
Silverdale Green,,Lancashire,England
Simonstone,BB12,Lancashire,England
Singleton,FY6,Lancashire,England
Skelmersdale,WN8,Lancashire,England
Skerton,,Lancashire,England
Skippool,,Lancashire,England
Skitham,,Lancashire,England
Slackcote,,Lancashire,England
Slaidburn,BB7,Lancashire,England
Slattocks,,Lancashire,England
Slyne,LA2,Lancashire,England
Smallbridge,,Lancashire,England
Smallwood Hey,,Lancashire,England
Smith Green,,Lancashire,England
Smithy Bridge,,Lancashire,England
Smithy Lane Ends,,Lancashire,England
Snape Green,PR8,Lancashire,England
Sollom,PR4,Lancashire,England
South Shore,,Lancashire,England
Sower Carr,,Lancashire,England
Speke,,Lancashire,England
Spotland Bridge,,Lancashire,England
Spring Green,,Lancashire,England
Spring Hill,,Lancashire,England
Springfield,,Lancashire,England
Springhead,,Lancashire,England
Squires Gate,FY4,Lancashire,England
St Annes,,Lancashire,England
Stacksteads,OL13,Lancashire,England
Staining,FY3,Lancashire,England
Stake Hill,,Lancashire,England
Stalmine,FY6,Lancashire,England
Stalmine Moss Side,,Lancashire,England
Stanah,,Lancashire,England
Stand,,Lancashire,England
Standen Hall,,Lancashire,England
Standish,WN6,Lancashire,England
Standish Lower Ground,WN6,Lancashire,England
Stanhill,,Lancashire,England
Stanley Gate,,Lancashire,England
Stanycliffe,,Lancashire,England
Starling,,Lancashire,England
Staynall,FY6,Lancashire,England
Stock,,Lancashire,England
Stockbridge Village,,Lancashire,England
Stodday,LA2,Lancashire,England
Stone Head,,Lancashire,England
Stoneclough,,Lancashire,England
Stoneycroft,,Lancashire,England
Stoneyfield,,Lancashire,England
Stopper Lane,,Lancashire,England
Street,PR3,Lancashire,England
Stubbins,BL0,Lancashire,England
Stubshaw Cross,,Lancashire,England
Stydd,,Lancashire,England
Sudden,,Lancashire,England
Summerseat,,Lancashire,England
Summit,,Lancashire,England
Sunderland,,Lancashire,England
Sunny Bank,,Lancashire,England
Sunny Bower,,Lancashire,England
Sunnyhurst,,Lancashire,England
Swillbrook,PR4,Lancashire,England
Syke,OL12,Lancashire,England
Sykes,BB7,Lancashire,England
Tame Water,,Lancashire,England
Tamer Lane End,,Lancashire,England
Tanhouse,,Lancashire,England
Tanterton,PR2,Lancashire,England
Tardy Gate,PR5,Lancashire,England
Tarleton,PR4,Lancashire,England
Tarleton Moss,,Lancashire,England
Tarlscough,L40,Lancashire,England
Tarnbrook,LA2,Lancashire,England
Tatham,LA2,Lancashire,England
Tewitfield,,Lancashire,England
The Bell,,Lancashire,England
The Row,,Lancashire,England
Thistleton,PR4,Lancashire,England
Thornham Fold,,Lancashire,England
Thornton,FY5,Lancashire,England
Thornton-in-Craven,,Lancashire,England
Thorp,,Lancashire,England
Thorpe Green,,Lancashire,England
Three Pools Waterways,,Lancashire,England
Thursden Brook,,Lancashire,England
Thurston Clough,,Lancashire,England
Tockholes,BB3,Lancashire,England
Tonge Fold,,Lancashire,England
Tonge Moor,,Lancashire,England
Tontine,,Lancashire,England
Top Lock,,Lancashire,England
Top of Hebers,,Lancashire,England
Toppings,BL7,Lancashire,England
Torrisholme,LA4,Lancashire,England
Tosside,,Lancashire,England
Tottington,,Lancashire,England
Tottleworth,,Lancashire,England
Town Centre,,Lancashire,England
Town Green,L39,Lancashire,England
Town Lane,,Lancashire,England
Townsend Fold,,Lancashire,England
Toxteth,,Lancashire,England
Trawden,BB8,Lancashire,England
Treales,PR4,Lancashire,England
Trough Gate,,Lancashire,England
Trub,,Lancashire,England
Trunnah,FY5,Lancashire,England
Tuebrook,,Lancashire,England
Tunshill,,Lancashire,England
Tunstall,LA6,Lancashire,England
Tunstead,,Lancashire,England
Turf Hill,,Lancashire,England
Turn,,Lancashire,England
Turner Green,,Lancashire,England
Turton Bottoms,BL7,Lancashire,England
Twiston,,Lancashire,England
Tyldesley,,Lancashire,England
Unsworth,,Lancashire,England
Up Holland,WN8,Lancashire,England
Upper Thurnham,LA2,Lancashire,England
Uppermill,,Lancashire,England
Vauxhall,,Lancashire,England
Waddington,BB7,Lancashire,England
Wade Hall,,Lancashire,England
Walk Mill,BB10,Lancashire,England
Walker Fold,BB7,Lancashire,England
Wall Hill,,Lancashire,England
Wallbank,,Lancashire,England
Wallsuches,,Lancashire,England
Walmer Bridge,PR4,Lancashire,England
Walmersley,,Lancashire,England
Walshaw,,Lancashire,England
Walton,,Lancashire,England
Walton Summit,PR5,Lancashire,England
Walton-le-Dale,PR5,Lancashire,England
Warbreck,,Lancashire,England
Ward Green Cross,,Lancashire,England
Wardle,OL12,Lancashire,England
Warton,LA5,Lancashire,England
Warton Bank,,Lancashire,England
Water,BB4,Lancashire,England
Waterfoot,BB4,Lancashire,England
Waterloo,,Lancashire,England
Watersheddings,,Lancashire,England
Waterside,,Lancashire,England
Waterslack,,Lancashire,England
Wavertree,,Lancashire,England
Weeton,PR4,Lancashire,England
Weld Bank,,Lancashire,England
Wenning,,Lancashire,England
Wennington,LA2,Lancashire,England
Werneth,,Lancashire,England
Wesham,PR4,Lancashire,England
West Bradford,BB7,Lancashire,England
West Derby,,Lancashire,England
West End,LA4,Lancashire,England
Westby,PR4,Lancashire,England
Westhead,L40,Lancashire,England
Westhoughton,,Lancashire,England
Westleigh,,Lancashire,England
Whalley,BB7,Lancashire,England
Whalley Banks,,Lancashire,England
Whalleys,,Lancashire,England
Wharles,PR4,Lancashire,England
Wheatley Lane,BB12,Lancashire,England
Wheelton,PR6,Lancashire,England
Whelley,,Lancashire,England
Whin Lane End,PR3,Lancashire,England
Whinny Heights,,Lancashire,England
White Coppice,PR6,Lancashire,England
White Gate,,Lancashire,England
White Lund,,Lancashire,England
White Stake,,Lancashire,England
Whitebirk,BB1,Lancashire,England
Whitechapel,PR3,Lancashire,England
Whitefield,,Lancashire,England
Whitehall,,Lancashire,England
Whiteholme,,Lancashire,England
Whitewell,BB7,Lancashire,England
Whitewell Bottom,,Lancashire,England
Whitley,,Lancashire,England
Whittington,LA6,Lancashire,England
Whittle-le-Woods,PR6,Lancashire,England
Whittlestone Head,,Lancashire,England
Whitworth,OL12,Lancashire,England
Wigan,WN6,Lancashire,England
Wilderswood,,Lancashire,England
Willacy Lane End,,Lancashire,England
Willows,,Lancashire,England
Wilpshire,BB1,Lancashire,England
Winewall,BB8,Lancashire,England
Wingates,,Lancashire,England
Winmarleigh Moss,,Lancashire,England
Winstanley,,Lancashire,England
Winstanleys,,Lancashire,England
Wiswell,BB7,Lancashire,England
Withnell,PR6,Lancashire,England
Withnell Fold,,Lancashire,England
Wolstenholme,OL12,Lancashire,England
Wood End,,Lancashire,England
Wood House,,Lancashire,England
Wood Road,,Lancashire,England
Woodgate Hill,,Lancashire,England
Woodhey,,Lancashire,England
Woodhouses,,Lancashire,England
Woodnook,,Lancashire,England
Woodplumpton,PR4,Lancashire,England
Woodsfold,,Lancashire,England
Woolfold,,Lancashire,England
Woolton,,Lancashire,England
Worsley Hall,,Lancashire,England
Worsley Mesnes,,Lancashire,England
Worsthorne,BB10,Lancashire,England
Worston,BB7,Lancashire,England
Wray,LA2,Lancashire,England
Wrayton,,Lancashire,England
Wrea Green,PR4,Lancashire,England
Wrightington Bar,WN6,Lancashire,England
Wycoller,BB8,Lancashire,England
Wymott,,Lancashire,England
Wyre,FY5,Lancashire,England
Yealand Conyers,LA5,Lancashire,England
Yealand Redmayne,LA5,Lancashire,England
Yealand Storrs,,Lancashire,England
