,,Cumbria,England
Reagill,CA10,Cumbria,England
Red Dial,CA7,Cumbria,England
Redhills,,Cumbria,England
Redmain,,Cumbria,England
Renwick,CA10,Cumbria,England
Reston,,Cumbria,England
Rickerby,,Cumbria,England
Rigg Beck,,Cumbria,England
Risehow,,Cumbria,England
Roa Island,LA13,Cumbria,England
Roadhead,CA6,Cumbria,England
Robbery Water,,Cumbria,England
Rockcliffe,CA6,Cumbria,England
Rockcliffe Cross,,Cumbria,England
Roger Ground,,Cumbria,England
Rookby,,Cumbria,England
Rooking,,Cumbria,England
Roose,,Cumbria,England
Roosebeck,,Cumbria,England
Roosecote,LA13,Cumbria,England
Rosgill,CA10,Cumbria,England
Rosley,CA7,Cumbria,England
Rosthwaite,CA12,Cumbria,England
Rottington,CA28,Cumbria,England
Roughsike,,Cumbria,England
Roundthwaite,,Cumbria,England
Row,LA8,Cumbria,England
Row Brow,,Cumbria,England
Rowe Head,,Cumbria,England
Rowrah,CA26,Cumbria,England
Ruckcroft,CA4,Cumbria,England
Rushland Cross,,Cumbria,England
Rusland,LA12,Cumbria,England
Ruthwaite,,Cumbria,England
Rydal,LA22,Cumbria,England
Sadgill,LA8,Cumbria,England
Salkeld Dykes,CA11,Cumbria,England
Salt Cotes,,Cumbria,England
Salta,,Cumbria,England
Saltcoats,,Cumbria,England
Salterbeck,,Cumbria,England
Salthouse,,Cumbria,England
Sand Gate,,Cumbria,England
Sand Side,LA17,Cumbria,England
Sandale,,Cumbria,England
Sandford,CA16,Cumbria,England
Sandside,,Cumbria,England
Sandwith,CA28,Cumbria,England
Sandwith Newtown,,Cumbria,England
Santon,,Cumbria,England
Santon Bridge,CA19,Cumbria,England
Satterthwaite,LA12,Cumbria,England
Scafell Pike,,Cumbria,England
Scaleby,CA6,Cumbria,England
Scalebyhill,CA6,Cumbria,England
Scales,CA12,Cumbria,England
Scanda,,Cumbria,England
Scar Head,,Cumbria,England
Scarness,,Cumbria,England
Scilly Bank,,Cumbria,England
Scotby,CA4,Cumbria,England
Scout Green,,Cumbria,England
Scuggate,,Cumbria,England
Sea Mill,,Cumbria,England
Seascale,CA20,Cumbria,England
Seathwaite,CA12,Cumbria,England
Seatle,,Cumbria,England
Seatoller,CA12,Cumbria,England
Seaton,CA14,Cumbria,England
Seaville,CA5,Cumbria,England
Sebergham,CA5,Cumbria,England
Sedbergh,LA10,Cumbria,England
Sedgwick,LA8,Cumbria,England
Selside,,Cumbria,England
Shap,CA10,Cumbria,England
Shopford,,Cumbria,England
Shoregill,,Cumbria,England
Siddick,,Cumbria,England
Silecroft,LA18,Cumbria,England
Silloth,CA5,Cumbria,England
Skelton,CA11,Cumbria,England
Skelwith Bridge,LA22,Cumbria,England
Skiddaw,,Cumbria,England
Skinburness,CA5,Cumbria,England
Skiprigg,,Cumbria,England
Skirwith,CA10,Cumbria,England
Skitby,,Cumbria,England
Slack Head,,Cumbria,England
Sleagill,CA10,Cumbria,England
Sleetbeck,,Cumbria,England
Smardale,CA17,Cumbria,England
Smithfield,CA6,Cumbria,England
Sockbridge,,Cumbria,England
Soulby,CA17,Cumbria,England
Sour Nook,,Cumbria,England
Soutergate,LA17,Cumbria,England
South End,LA14,Cumbria,England
South Newbarns,,Cumbria,England
South Stainmore,,Cumbria,England
South Tyne,,Cumbria,England
South Ulverston,,Cumbria,England
Southam,,Cumbria,England
Southernby,,Cumbria,England
Southwaite,CA4,Cumbria,England
Sowerby Row,CA4,Cumbria,England
Spark Bridge,LA12,Cumbria,England
Spring Bank,,Cumbria,England
Sprint,,Cumbria,England
Sprunston,,Cumbria,England
St Bees,CA27,Cumbria,England
St Bees Head,,Cumbria,England
St Helens,,Cumbria,England
Staffield,CA10,Cumbria,England
Stainburn,,Cumbria,England
Stainton,CA11,Cumbria,England
Stainton with Adgarley,LA13,Cumbria,England
Stair,CA12,Cumbria,England
Standingstone,,Cumbria,England
Stank,,Cumbria,England
Stanwix,CA3,Cumbria,England
Stapleton,CA6,Cumbria,England
Station Hill,,Cumbria,England
Staveley,LA8,Cumbria,England
Staveley-in-Cartmel,LA12,Cumbria,England
Steel Green,,Cumbria,England
Stockdalewath,CA5,Cumbria,England
Stone House,LA10,Cumbria,England
Stone Raise,,Cumbria,England
Stonethwaite,,Cumbria,England
Storrs,,Cumbria,England
Storth,LA7,Cumbria,England
Strands,,Cumbria,England
Strawberry Bank,,Cumbria,England
Street,,Cumbria,England
Stubble Green,,Cumbria,England
Styhead Gill,,Cumbria,England
Summerlands,,Cumbria,England
Sunbrick,,Cumbria,England
Sunderland,CA13,Cumbria,England
Swallohurst,,Cumbria,England
Swarthmoor,,Cumbria,England
Sweetholme,,Cumbria,England
Swindale Beck,,Cumbria,England
Swinside,,Cumbria,England
Talkin,CA8,Cumbria,England
Tallentire,CA13,Cumbria,England
Tarns,,Cumbria,England
Tarnside,,Cumbria,England
Tarraby,,Cumbria,England
Tebay,CA10,Cumbria,England
Tees,,Cumbria,England
Temple Sowerby,CA10,Cumbria,England
Thackthwaite,,Cumbria,England
The Green,,Cumbria,England
The Hill,,Cumbria,England
The Howe,,Cumbria,England
Thethwaite,,Cumbria,England
Thomas Close,,Cumbria,England
Thornby,,Cumbria,England
Thornhill,CA22,Cumbria,England
Thornthwaite,CA12,Cumbria,England
Thorpe,,Cumbria,England
Threapland,,Cumbria,England
Threlkeld,CA12,Cumbria,England
Thursby,CA5,Cumbria,England
Thurstonfield,CA5,Cumbria,England
Thwaite Flat,,Cumbria,England
Thwaite Head,LA12,Cumbria,England
Tindale,CA8,Cumbria,England
Tirril,CA10,Cumbria,England
Tivoli,,Cumbria,England
Todhills,CA6,Cumbria,England
Torpenhow,CA5,Cumbria,England
Torver,LA21,Cumbria,England
Tottlebank,,Cumbria,England
Town End,LA11,Cumbria,England
Town Head,,Cumbria,England
Towngate,,Cumbria,England
Townhead,,Cumbria,England
Trout Beck,,Cumbria,England
Troutbeck,LA23,Cumbria,England
Troutbeck Bridge,LA23,Cumbria,England
Ulcat Row,CA11,Cumbria,England
Uldale,CA5,Cumbria,England
Ullock,CA14,Cumbria,England
Ulpha,LA20,Cumbria,England
Ulverston,LA12,Cumbria,England
Underbarrow,LA8,Cumbria,England
Unthank,CA11,Cumbria,England
Upper Denton,,Cumbria,England
Upperby,,Cumbria,England
Upton,,Cumbria,England
Vickerstown,LA14,Cumbria,England
Waitby,CA17,Cumbria,England
Walby,,Cumbria,England
Wall End,,Cumbria,England
Walney Island,LA14,Cumbria,England
Walton,CA8,Cumbria,England
Wampoo,,Cumbria,England
Wampool,,Cumbria,England
Warcop,CA16,Cumbria,England
Warwick Bridge,CA4,Cumbria,England
Warwick-on-Eden,,Cumbria,England
Warwicksland,,Cumbria,England
Wasdale,,Cumbria,England
Wasdale Beck,,Cumbria,England
Wasdale Head,CA20,Cumbria,England
Wast Water,,Cumbria,England
Watchgate,LA8,Cumbria,England
Watchhill,,Cumbria,England
Watendlath,,Cumbria,England
Water Garth Nook,,Cumbria,England
Water Yeat,LA12,Cumbria,England
Waterend,,Cumbria,England
Waterfoot,,Cumbria,England
Waterhead,LA22,Cumbria,England
Watermillock,CA11,Cumbria,England
Waterside,,Cumbria,England
Wath,,Cumbria,England
Wath Brow,CA25,Cumbria,England
Waver,,Cumbria,England
Waverbridge,CA7,Cumbria,England
Waverton,CA7,Cumbria,England
Weasdale,,Cumbria,England
Wellington,CA20,Cumbria,England
Welton,CA5,Cumbria,England
West Curthwaite,CA7,Cumbria,England
West End,,Cumbria,England
Western Bank,,Cumbria,England
Westfield,CA14,Cumbria,England
Westlinton,CA6,Cumbria,England
Westmoor End,,Cumbria,England
Westnewton,CA5,Cumbria,England
Westward,CA7,Cumbria,England
Wetheral,CA4,Cumbria,England
Wetheral Plain,,Cumbria,England
Whale,CA10,Cumbria,England
Whasset,,Cumbria,England
Whelpo,CA7,Cumbria,England
Whicham,LA18,Cumbria,England
Whitbeck,LA19,Cumbria,England
White Lyne,,Cumbria,England
Whiteclosegate,,Cumbria,England
Whitehaven,CA28,Cumbria,England
Whitrigg,CA5,Cumbria,England
Whitsundale Beck,,Cumbria,England
Wiggonby,CA7,Cumbria,England
Wigton,CA7,Cumbria,England
Willow Holme,,Cumbria,England
Wilton,,Cumbria,England
Wind Hill,,Cumbria,England
Winder,,Cumbria,England
Windermere,LA23,Cumbria,England
Winscales,,Cumbria,England
Winskill,CA10,Cumbria,England
Winster,LA8,Cumbria,England
Winton,CA17,Cumbria,England
Witherslack,LA11,Cumbria,England
Wolsty,,Cumbria,England
Woodend,CA18,Cumbria,England
Woodhouse,LA7,Cumbria,England
Woodhouses,,Cumbria,England
Woodland,,Cumbria,England
Woodrow,,Cumbria,England
Workington,CA14,Cumbria,England
Wreaks End,,Cumbria,England
Wreay,CA11,Cumbria,England
Wyth Burn,,Cumbria,England
Wythop Mill,,Cumbria,England
Yarlside,,Cumbria,England
Yearngill,,Cumbria,England
Yottenfews,,Cumbria,England
