,,Devon,England
Muddlebridge,,Devon,England
Murchington,TQ13,Devon,England
Murtwell,,Devon,England
Musbury,EX13,Devon,England
Mutley,PL4,Devon,England
Mutterton,EX15,Devon,England
Nadderwater,,Devon,England
Narfords,,Devon,England
Narracott,,Devon,England
Natcott,,Devon,England
Neopardy,,Devon,England
Nether Exe,EX5,Devon,England
Nethercott,,Devon,England
Netherton,TQ12,Devon,England
Nettacott,,Devon,England
New Inn,,Devon,England
Newbuildings,,Devon,England
Newcott,EX14,Devon,England
Newhaven,,Devon,England
Newport,EX32,Devon,England
Newtake,,Devon,England
Newton Abbot,TQ12,Devon,England
Newton Ferrers,PL8,Devon,England
Newton Poppleford,EX10,Devon,England
Newton St Cyres,EX5,Devon,England
Newton St Petrock,EX22,Devon,England
Newton Tracey,EX31,Devon,England
Newtown,,Devon,England
Nicholashayne,TA21,Devon,England
Nine Oaks,,Devon,England
Nomansland,EX16,Devon,England
Norley,,Devon,England
North Bovey,TQ13,Devon,England
North Brentor,PL19,Devon,England
North Buckland,EX33,Devon,England
North End,,Devon,England
North Heasley,EX36,Devon,England
North Huish,TQ10,Devon,England
North Molton,EX36,Devon,England
North Radworthy,EX36,Devon,England
North Star,,Devon,England
North Tawton,EX20,Devon,England
North Town,EX20,Devon,England
North Waterhayne,,Devon,England
North West Point,,Devon,England
North Whilborough,TQ12,Devon,England
Northam,EX39,Devon,England
Northay,,Devon,England
Northcote,,Devon,England
Northcott,PL15,Devon,England
Northleigh,EX13,Devon,England
Northlew,EX20,Devon,England
Northmoor,,Devon,England
Northmostown,,Devon,England
Northway,,Devon,England
Norton,,Devon,England
Noss Mayo,PL8,Devon,England
Nymet Rowland,EX17,Devon,England
Nymet Tracey,EX17,Devon,England
Oak Cross,EX20,Devon,England
Oakford,EX16,Devon,England
Oakfordbridge,,Devon,England
Odam Barton,,Devon,England
Odham,,Devon,England
Offwell,EX14,Devon,England
Okehampton,EX20,Devon,England
Olchard,,Devon,England
Oldborough,EX17,Devon,England
Oldway,,Devon,England
Oldways End,EX16,Devon,England
Orchard Hill,,Devon,England
Oreston,PL9,Devon,England
Otter,,Devon,England
Otterton,EX9,Devon,England
Ottery St Mary,EX11,Devon,England
Outer Hope,,Devon,England
Padson,,Devon,England
Paignton,TQ3,Devon,England
Pancrasweek,EX22,Devon,England
Park,,Devon,England
Parkham,EX39,Devon,England
Parkham Ash,EX39,Devon,England
Parnacott,,Devon,England
Parracombe,EX31,Devon,England
Patchacott,,Devon,England
Patchole,EX31,Devon,England
Pathfinder Village,,Devon,England
Patsford,,Devon,England
Payhembury,EX14,Devon,England
Penhill,,Devon,England
Pennsylvania,,Devon,England
Pennycross,,Devon,England
Pennymoor,EX16,Devon,England
Penquit,,Devon,England
Penstone,,Devon,England
Peppercombe,,Devon,England
Perry,,Devon,England
Peter Tavy,PL19,Devon,England
Peters Marland,EX38,Devon,England
Petrockstowe,,Devon,England
Petton,EX16,Devon,England
Peverell,PL3,Devon,England
Philham,EX39,Devon,England
Pillmouth,,Devon,England
Pilton,EX31,Devon,England
Pinhoe,EX1,Devon,England
Pippacott,EX31,Devon,England
Plym,,Devon,England
Plymouth,PL1,Devon,England
Plympton,PL7,Devon,England
Plymstock,PL9,Devon,England
Plymtree,EX15,Devon,England
Polsloe,,Devon,England
Poltimore,EX4,Devon,England
Pomphlett,,Devon,England
Ponsford,,Devon,England
Ponsworthy,TQ13,Devon,England
Popham,,Devon,England
Port Bridge,,Devon,England
Portington,,Devon,England
Postbridge,PL20,Devon,England
Pottington,,Devon,England
Poughill,EX17,Devon,England
Poundsgate,TQ13,Devon,England
Powderham,EX6,Devon,England
Prawle Point,,Devon,England
Prescott,,Devon,England
Preston,TQ12,Devon,England
Priestacott,,Devon,England
Princetown,PL20,Devon,England
Pristacott,,Devon,England
Prixford,EX31,Devon,England
Prowse,,Devon,England
Puddaven,,Devon,England
Puddington,EX16,Devon,England
Pulsford,,Devon,England
Putsborough,,Devon,England
Pye Corner,,Devon,England
Pyworthy,EX22,Devon,England
Queen Dart,,Devon,England
Quoditch,EX21,Devon,England
Rackenford,EX16,Devon,England
Raddington,,Devon,England
Raddon,,Devon,England
Raleigh,,Devon,England
Ramsley,,Devon,England
Ratsloe,,Devon,England
Rattery,TQ10,Devon,England
Rawridge,EX14,Devon,England
Red Ball,,Devon,England
Redhills,,Devon,England
Redomsford,,Devon,England
Reedy,,Devon,England
Rew,TQ13,Devon,England
Rewe,EX5,Devon,England
Rexon,,Devon,England
Rexon Cross,,Devon,England
Riddlecombe,EX18,Devon,England
Ridge,,Devon,England
Ringmore,TQ7,Devon,England
Riverton,,Devon,England
Roachill,,Devon,England
Road Green,,Devon,England
Roadford Reservoir,,Devon,England
Roborough,EX19,Devon,England
Rock,,Devon,England
Rockbeare,EX5,Devon,England
Rockford,,Devon,England
Romansleigh,EX36,Devon,England
Rose Ash,EX36,Devon,England
Rosedown,,Devon,England
Rosemary Lane,EX15,Devon,England
Roundswell,,Devon,England
Rousdon,DT7,Devon,England
Rowden,,Devon,England
Rumsam,,Devon,England
Rushford,,Devon,England
Rydon,EX22,Devon,England
Saint Hill,,Devon,England
Salcombe,TQ8,Devon,England
Salcombe Regis,EX10,Devon,England
Salmonhutch,,Devon,England
Saltrens,,Devon,England
Sampford Chapple,,Devon,England
Sampford Courtenay,EX20,Devon,England
Sampford Moor,,Devon,England
Sampford Peverell,EX16,Devon,England
Sampford Spiney,PL20,Devon,England
Sandford,EX17,Devon,England
Sandy Gate,,Devon,England
Sandygate,TQ12,Devon,England
Satterleigh,EX37,Devon,England
Saunton,EX33,Devon,England
Scorriton,TQ11,Devon,England
Seaton,EX12,Devon,England
Seaton Junction,EX13,Devon,England
Sector,,Devon,England
Shaldon,TQ14,Devon,England
Shallowford,EX31,Devon,England
Shaugh Prior,PL7,Devon,England
Shebbear,EX21,Devon,England
Sheepstor,PL20,Devon,England
Sheepwash,EX21,Devon,England
Sheldon,EX14,Devon,England
Shelvin,,Devon,England
Sherberton,,Devon,England
Sherdon Water,,Devon,England
Sherford,TQ7,Devon,England
Sherwood Green,EX31,Devon,England
Shillingford,EX16,Devon,England
Shillingford Abbot,,Devon,England
Shillingford St George,EX2,Devon,England
Shiphay,TQ3,Devon,England
Shirwell,EX31,Devon,England
Shobrooke,EX17,Devon,England
Shop,EX23,Devon,England
Shore Bottom,,Devon,England
Shortacombe,EX20,Devon,England
Shortmoor,,Devon,England
Shorton,,Devon,England
Shute,EX13,Devon,England
Sid,,Devon,England
Sidbury,EX10,Devon,England
Sidford,EX10,Devon,England
Sidmouth,EX10,Devon,England
Sigford,TQ13,Devon,England
Silford,,Devon,England
Silverton,EX5,Devon,England
Simonsburrow,,Devon,England
Skaigh,,Devon,England
Slade,EX34,Devon,England
Slapton,TQ7,Devon,England
Sloncombe,,Devon,England
Smallbrook,,Devon,England
Smallmarsh,,Devon,England
Smallridge,EX13,Devon,England
Smeatharpe,EX14,Devon,England
Smithaleigh,,Devon,England
Smithincott,EX15,Devon,England
Snapper,,Devon,England
Soar,TQ7,Devon,England
Soldon Cross,EX22,Devon,England
Sorley,,Devon,England
Sourton,EX20,Devon,England
South Allington,TQ7,Devon,England
South Brent,TQ10,Devon,England
South Common,,Devon,England
South Hole,EX39,Devon,England
South Huish,TQ7,Devon,England
South Knighton,,Devon,England
South Milton,TQ7,Devon,England
South Molton,EX36,Devon,England
South Radworthy,EX36,Devon,England
South Tawton,EX20,Devon,England
South Town,,Devon,England
South West Point,,Devon,England
South Wonford,,Devon,England
South Yeo,,Devon,England
South Zeal,EX20,Devon,England
Southcott,EX20,Devon,England
Southerly,,Devon,England
Southerton,,Devon,England
Southleigh,EX13,Devon,England
Southville,,Devon,England
Southway,,Devon,England
Sowton,EX5,Devon,England
Sowton Barton,,Devon,England
Sparkwell,PL7,Devon,England
Splatt,,Devon,England
Spreyton,EX17,Devon,England
Spriddlestone,,Devon,England
St Budeaux,PL5,Devon,England
St Giles in the Wood,EX38,Devon,England
St Giles on the Heath,PL15,Devon,England
St Marychurch,TQ1,Devon,England
St Michaels,,Devon,England
St Thomas,EX2,Devon,England
Staddiscombe,PL9,Devon,England
Staddon,,Devon,England
Staple Cross,,Devon,England
Starcross,EX6,Devon,England
Start,,Devon,England
Start Point,,Devon,England
Staverton,TQ9,Devon,England
Stenhill,,Devon,England
Stentwood,,Devon,England
Stevenstone,,Devon,England
Stibb Cross,EX38,Devon,England
Sticklepath,EX20,Devon,England
Stockland,EX14,Devon,England
Stockleigh English,EX17,Devon,England
Stockleigh Pomeroy,EX17,Devon,England
Stockwell,,Devon,England
Stoford Water,,Devon,England
Stoke,EX39,Devon,England
Stoke Canon,EX5,Devon,England
Stoke Fleming,TQ6,Devon,England
Stoke Gabriel,TQ9,Devon,England
Stoke Hill,,Devon,England
Stoke Point,,Devon,England
Stoke Rivers,EX32,Devon,England
Stokeinteignhead,TQ12,Devon,England
Stokenham,TQ7,Devon,England
Stonecombe,,Devon,England
Stonehouse,PL1,Devon,England
Stoneycombe,,Devon,England
Stoneyford,,Devon,England
Stony Cross,,Devon,England
Stonyland,,Devon,England
Stoodleigh,EX16,Devon,England
Stopgate,,Devon,England
Stowford,EX20,Devon,England
Street,,Devon,England
Stretch Down,,Devon,England
Strete,TQ6,Devon,England
Strete Raleigh,,Devon,England
Stroxworthy,,Devon,England
Sutcombe,EX22,Devon,England
Sutcombemill,,Devon,England
Sutton,,Devon,England
Swallowfields,,Devon,England
Sweetham,,Devon,England
Swimbridge,EX32,Devon,England
Swimbridge Newland,EX32,Devon,England
Swincombe,,Devon,England
Sycamore,,Devon,England
Sydenham Damerel,PL19,Devon,England
Taddiport,EX38,Devon,England
Talaton,EX5,Devon,England
Taleford,,Devon,England
Talewater,,Devon,England
Tamar,,Devon,England
Tamerton Foliot,PL5,Devon,England
Tavistock,PL19,Devon,England
Tavy,,Devon,England
Taw,,Devon,England
Taw Green,EX20,Devon,England
Tawstock,EX31,Devon,England
Tedburn St Mary,EX6,Devon,England
Teign,,Devon,England
Teign Village,,Devon,England
Teigngrace,TQ12,Devon,England
Teignmouth,TQ14,Devon,England
Templeton,EX16,Devon,England
Templeton Bridge,EX16,Devon,England
Tetcott,EX22,Devon,England
The Point,,Devon,England
Thorn,,Devon,England
Thornbury,EX22,Devon,England
Thorndon Cross,,Devon,England
Thorne Moor,,Devon,England
Thornehillhead,,Devon,England
Thorverton,EX5,Devon,England
Throwleigh,EX20,Devon,England
Thrushel,,Devon,England
Thrushelton,EX20,Devon,England
Thurlestone,TQ7,Devon,England
Ticketwood,,Devon,England
Tigley,TQ9,Devon,England
Tillislow,,Devon,England
Tillworth,,Devon,England
Tinhay,PL16,Devon,England
Tippacott,EX35,Devon,England
Tipple Cross,,Devon,England
Tipton St John,EX10,Devon,England
Titchberry,EX39,Devon,England
Tiverton,EX16,Devon,England
Topsham,EX3,Devon,England
Torbay,TQ1,Devon,England
Torbryan,TQ12,Devon,England
Torcross,TQ7,Devon,England
Torquay,TQ2,Devon,England
Torr,PL8,Devon,England
Torre,,Devon,England
Torridge,EX39,Devon,England
Tosberry,EX39,Devon,England
Totnes,TQ9,Devon,England
Tower Hill,,Devon,England
Town Barton,,Devon,England
Townlake,,Devon,England
Townsend,,Devon,England
Tracebridge,,Devon,England
Trecott,,Devon,England
Tredown,,Devon,England
Trentishoe,EX31,Devon,England
Trewyn,,Devon,England
Tricombe,,Devon,England
Trill,,Devon,England
Trimstone,EX34,Devon,England
Trinity,,Devon,England
Trow,,Devon,England
True Street,,Devon,England
Trusham,TQ13,Devon,England
Tuckenhay,TQ9,Devon,England
Tuckermarsh,,Devon,England
Tudhay,,Devon,England
Turfmoor,,Devon,England
Turnchapel,PL9,Devon,England
Twist,,Devon,England
Twitchen,EX36,Devon,England
Twitchen Mill,,Devon,England
Two Bridges,PL20,Devon,England
Two Mile Oak Cross,,Devon,England
Two Pots,,Devon,England
Tythecott,,Devon,England
Tytherleigh,EX13,Devon,England
Uffculme,EX15,Devon,England
Ugborough,PL21,Devon,England
Ullcombe,,Devon,England
Umberleigh,EX37,Devon,England
Umborne,,Devon,England
Umbourne Brook,,Devon,England
Underdown,,Devon,England
Underwood,,Devon,England
Up Exe,EX5,Devon,England
Upcott,,Devon,England
Upham,EX17,Devon,England
Uphempston,,Devon,England
Uplowman,EX16,Devon,England
Uplyme,DT7,Devon,England
Upottery,EX14,Devon,England
Uppacott,,Devon,England
Upper Dean,,Devon,England
Uppincott,,Devon,England
Upton,EX14,Devon,England
Upton Hellions,EX17,Devon,England
Upton Pyne,EX5,Devon,England
Uton,EX17,Devon,England
Vale Down,,Devon,England
Velator,,Devon,England
Velly,,Devon,England
Venn,TQ7,Devon,England
Venn Ottery,EX11,Devon,England
Venngreen,,Devon,England
Venny Tedburn,,Devon,England
Vention,,Devon,England
Venton,,Devon,England
Veraby,,Devon,England
Vicarage,EX12,Devon,England
Virginstow,EX21,Devon,England
Wadbrook,,Devon,England
Waddeton,,Devon,England
Waddicombe,,Devon,England
Waddon,,Devon,England
Waggs Plot,,Devon,England
Waldon,,Devon,England
Walkhampton,PL20,Devon,England
Ware,,Devon,England
Warfleet,,Devon,England
Warkleigh,EX37,Devon,England
Washbourne,TQ9,Devon,England
Washfield,EX16,Devon,England
Washford Pyne,EX16,Devon,England
Wastor,,Devon,England
Watchcombe,,Devon,England
Watcombe,,Devon,England
Water,,Devon,England
Waterhead,,Devon,England
Way Village,EX16,Devon,England
Waye,,Devon,England
Waytown,,Devon,England
Weare Giffard,EX39,Devon,England
Week,EX18,Devon,England
Weeke,,Devon,England
Welcombe,EX39,Devon,England
Well Town,EX16,Devon,England
Wellswood,,Devon,England
Welsford,,Devon,England
Welstor,,Devon,England
Wembury,PL9,Devon,England
Wembworthy,EX18,Devon,England
West Alvington,TQ7,Devon,England
West Anstey,EX36,Devon,England
West Ashford,,Devon,England
West Blackdown,,Devon,England
West Buckland,EX32,Devon,England
West Charleton,TQ7,Devon,England
West Dart,,Devon,England
West Down,EX34,Devon,England
West Hill,EX11,Devon,England
West Ilkerton,,Devon,England
West Leigh,,Devon,England
West Lyn,,Devon,England
West Ogwell,TQ12,Devon,England
West Panson,,Devon,England
West Putford,EX22,Devon,England
West Sandford,,Devon,England
West Town,,Devon,England
West Wembury,,Devon,England
West Worlington,EX17,Devon,England
Westacott,,Devon,England
Westcott,EX15,Devon,England
Westlake,PL21,Devon,England
Westleigh,EX16,Devon,England
Weston,EX12,Devon,England
Weston Mill,,Devon,England
Westown,,Devon,England
Westville,,Devon,England
Westward Ho!,,Devon,England
Westweekmoor,,Devon,England
Westwood,EX5,Devon,England
Weycroft,EX13,Devon,England
Whiddon,,Devon,England
Whiddon Down,EX6,Devon,England
Whimble,,Devon,England
Whimple,EX5,Devon,England
Whipcott,,Devon,England
Whipton,EX1,Devon,England
Whitchurch,PL19,Devon,England
Whitehall,,Devon,England
Whitestone,EX4,Devon,England
Whitford,EX13,Devon,England
Whitleigh,PL5,Devon,England
Whitmoor,,Devon,England
Whitnage,EX16,Devon,England
Wick,,Devon,England
Widecombe in the Moor,TQ13,Devon,England
Widewell,,Devon,England
Widworthy,EX14,Devon,England
Wiggaton,EX11,Devon,England
Willand,EX15,Devon,England
Willand Moor,,Devon,England
Willingcott,,Devon,England
Wilmington,EX14,Devon,England
Wilminstone,,Devon,England
Wilsham,,Devon,England
Wiltown,,Devon,England
Winkleigh,EX19,Devon,England
Winsham,,Devon,England
Winslade,,Devon,England
Winswell,EX38,Devon,England
Withacott,,Devon,England
Witheridge,EX16,Devon,England
Withleigh,EX16,Devon,England
Withycombe Raleigh,EX8,Devon,England
Wolborough,TQ12,Devon,England
Wolverstone,,Devon,England
Wonford,EX2,Devon,England
Wonson,EX20,Devon,England
Woodacott,,Devon,England
Woodacott Cross,,Devon,England
Woodbridge,,Devon,England
Woodbury,EX5,Devon,England
Woodbury Salterton,EX5,Devon,England
Woodford,EX23,Devon,England
Woodgate,,Devon,England
Woodland,TQ13,Devon,England
Woodland Head,,Devon,England
Woodleigh,TQ7,Devon,England
Woodmanton,,Devon,England
Woodtown,EX39,Devon,England
Woody Bay,,Devon,England
Woolacombe,EX34,Devon,England
Woolfardisworthy,EX17,Devon,England
Woolfardisworthy (Woolsery),,Devon,England
Woollaton,EX38,Devon,England
Woolsery (Woolfardisworthy),,Devon,England
Woolsgrove,,Devon,England
Woolston,,Devon,England
Woolston Green,TQ13,Devon,England
Woolwell,,Devon,England
Worlington,,Devon,England
Worston,,Devon,England
Wotter,,Devon,England
Wotton,,Devon,England
Wrafton,EX33,Devon,England
Wrangaton,,Devon,England
Wreyland,,Devon,England
Wrinkleberry,,Devon,England
Wyke Green,,Devon,England
Yalberton,,Devon,England
Yarcombe,EX14,Devon,England
Yarnacott,,Devon,England
Yarnscombe,EX31,Devon,England
Yarty,,Devon,England
Yawl,,Devon,England
Yealm,,Devon,England
Yealmbridge,,Devon,England
Yealmpton,PL8,Devon,England
Yelland,,Devon,England
Yelverton,PL20,Devon,England
Yeo,,Devon,England
Yeo Mill,,Devon,England
Yeo Vale,EX39,Devon,England
Yeoford,EX17,Devon,England
Yettington,EX9,Devon,England
Yodercott,,Devon,England
Yondertown,,Devon,England
Zeal Monachorum,EX17,Devon,England
