,,Cornwall,England
Porth Kea,,Cornwall,England
Porth Navas,TR11,Cornwall,England
Porthallow,PL13,Cornwall,England
Porthcothan,PL28,Cornwall,England
Porthcurno,TR19,Cornwall,England
Porthgwarra,,Cornwall,England
Porthhallow,,Cornwall,England
Porthilly,,Cornwall,England
Porthleven,TR13,Cornwall,England
Porthloo,,Cornwall,England
Porthmeor,TR20,Cornwall,England
Portholland,PL26,Cornwall,England
Porthoustock,TR12,Cornwall,England
Porthtowan,TR4,Cornwall,England
Portloe,TR2,Cornwall,England
Portlooe,,Cornwall,England
Portmellon,,Cornwall,England
Portreath,TR16,Cornwall,England
Portscatho,TR2,Cornwall,England
Portwrinkle,PL11,Cornwall,England
Poughill,EX23,Cornwall,England
Poundstock,EX23,Cornwall,England
Praa Sands,TR13,Cornwall,England
Praze-an-Beeble,TR14,Cornwall,England
Probus,TR2,Cornwall,England
Prospidnick,,Cornwall,England
Prussia Cove,,Cornwall,England
Puddle,,Cornwall,England
Quethiock,PL14,Cornwall,England
Quintrell Downs,TR8,Cornwall,England
Quoit,,Cornwall,England
Radnor,,Cornwall,England
Raginnis,,Cornwall,England
Rame,PL10,Cornwall,England
Rame Head,,Cornwall,England
Readymoney,,Cornwall,England
Reawla,,Cornwall,England
Red Post,EX23,Cornwall,England
Red River,,Cornwall,England
Redmoor,PL30,Cornwall,England
Redruth,TR15,Cornwall,England
Redtye,,Cornwall,England
Reen Manor,,Cornwall,England
Rejerrah,TR8,Cornwall,England
Releath,,Cornwall,England
Relubbus,TR20,Cornwall,England
Rescassa,,Cornwall,England
Rescorla,,Cornwall,England
Reskadinnick,,Cornwall,England
Restronguet Passage,,Cornwall,England
Resugga Green,,Cornwall,England
Retallack,,Cornwall,England
Retire,,Cornwall,England
Rezare,PL15,Cornwall,England
Rilla Mill,PL17,Cornwall,England
Rillaton,,Cornwall,England
Rinsey,TR13,Cornwall,England
Rinsey Croft,,Cornwall,England
Rising Sun,,Cornwall,England
Riverside,,Cornwall,England
Roche,PL26,Cornwall,England
Rock,PL27,Cornwall,England
Rockhead,PL33,Cornwall,England
Rocky Hill,,Cornwall,England
Roscroggan,,Cornwall,England
Rose,TR4,Cornwall,England
Rose-an-Grouse,,Cornwall,England
Rosecare,,Cornwall,England
Rosedinnick,,Cornwall,England
Rosehill,,Cornwall,England
Roseland,,Cornwall,England
Rosemelling,,Cornwall,England
Rosemergy,,Cornwall,England
Rosemullion Head,,Cornwall,England
Rosenannon,,Cornwall,England
Rosenithon,,Cornwall,England
Rosevean,,Cornwall,England
Rosevear,,Cornwall,England
Rosevine,,Cornwall,England
Rosewarne,TR27,Cornwall,England
Roseworthy,TR14,Cornwall,England
Roseworthy Barton,,Cornwall,England
Roskear Croft,,Cornwall,England
Roskorwell,,Cornwall,England
Rosudgeon,,Cornwall,England
Row,PL30,Cornwall,England
Ruan High Lanes,,Cornwall,England
Ruan Lanihorne,TR2,Cornwall,England
Ruan Major,TR12,Cornwall,England
Ruan Minor,TR12,Cornwall,England
Rumford,PL27,Cornwall,England
Ruthernbridge,PL30,Cornwall,England
Ruthvoes,TR9,Cornwall,England
Salem,,Cornwall,England
Saltash,PL12,Cornwall,England
Samson,,Cornwall,England
Sancreed,TR20,Cornwall,England
Sandplace,PL13,Cornwall,England
Sandylake,,Cornwall,England
Saveock,,Cornwall,England
Scarcewater,TR2,Cornwall,England
Scorrier,TR16,Cornwall,England
Scredda,,Cornwall,England
Sea Mills,,Cornwall,England
Seaton,PL11,Cornwall,England
Seaureaugh Moor,,Cornwall,England
Sellan,,Cornwall,England
Sennen,TR19,Cornwall,England
Sennen Cove,TR19,Cornwall,England
Seworgan,TR11,Cornwall,England
Sharpnose Points,,Cornwall,England
Sharptor,,Cornwall,England
Sheffield,,Cornwall,England
Sheviock,PL11,Cornwall,England
Shop,EX23,Cornwall,England
Shortacross,,Cornwall,England
Shortlanesend,TR4,Cornwall,England
Shutta,,Cornwall,England
Silverwell,,Cornwall,England
Sithney,TR13,Cornwall,England
Sithney Common,,Cornwall,England
Sithney Green,,Cornwall,England
Skewes,,Cornwall,England
Sladesbridge,,Cornwall,England
Slaughterbridge,,Cornwall,England
South Carne,,Cornwall,England
South Hill,PL17,Cornwall,England
South Petherwin,PL15,Cornwall,England
South Pill,,Cornwall,England
South Pool,,Cornwall,England
South Tehidy,,Cornwall,England
South Wheatley,PL15,Cornwall,England
Southcott,,Cornwall,England
Southdown,,Cornwall,England
Sparnon Gate,,Cornwall,England
Splatt,,Cornwall,England
St Agnes,TR5,Cornwall,England
St Agnes Head,,Cornwall,England
St Allen,TR4,Cornwall,England
St Anthony,TR12,Cornwall,England
St Anthony-in-Meneage,,Cornwall,England
St Austell,PL25,Cornwall,England
St Blazey,PL24,Cornwall,England
St Blazey Gate,PL24,Cornwall,England
St Breock,PL27,Cornwall,England
St Breward,PL30,Cornwall,England
St Buryan,TR19,Cornwall,England
St Cleer,PL14,Cornwall,England
St Clement,TR1,Cornwall,England
St Clether,PL15,Cornwall,England
St Columb Major,TR9,Cornwall,England
St Columb Minor,TR7,Cornwall,England
St Columb Road,TR9,Cornwall,England
St Day,TR16,Cornwall,England
St Dennis,PL26,Cornwall,England
St Dominick,PL12,Cornwall,England
St Endellion,PL29,Cornwall,England
St Enoder,TR8,Cornwall,England
St Erme,TR4,Cornwall,England
St Erney,,Cornwall,England
St Erth,TR27,Cornwall,England
St Erth Praze,TR27,Cornwall,England
St Ervan,PL27,Cornwall,England
St Eval,PL27,Cornwall,England
St Ewe,PL26,Cornwall,England
St Gennys,EX23,Cornwall,England
St Germans,PL12,Cornwall,England
St Gluvias,,Cornwall,England
St Helen,,Cornwall,England
St Hilary,TR20,Cornwall,England
St Issey,PL27,Cornwall,England
St Ive,PL14,Cornwall,England
St Ive Cross,,Cornwall,England
St Ives,TR26,Cornwall,England
St Jidgey,,Cornwall,England
St John,PL11,Cornwall,England
St Just,TR19,Cornwall,England
St Just in Roseland,TR2,Cornwall,England
St Keverne,TR12,Cornwall,England
St Kew,PL30,Cornwall,England
St Kew Highway,PL30,Cornwall,England
St Keyne,PL14,Cornwall,England
St Lawrence,PL30,Cornwall,England
St Levan,TR19,Cornwall,England
St Mabyn,PL30,Cornwall,England
St Martin,PL13,Cornwall,England
St Mawes,TR2,Cornwall,England
St Mawgan,TR8,Cornwall,England
St Mellion,PL12,Cornwall,England
St Merryn,PL28,Cornwall,England
St Mewan,PL26,Cornwall,England
St Michael Caerhays,PL26,Cornwall,England
St Micheal Penkevil,,Cornwall,England
St Minver,PL27,Cornwall,England
St Neot,PL14,Cornwall,England
St Newlyn East,,Cornwall,England
St Pinnock,PL14,Cornwall,England
St Ruan,,Cornwall,England
St Stephen,PL26,Cornwall,England
St Stephens,PL15,Cornwall,England
St Teath,PL30,Cornwall,England
St Tudy,PL30,Cornwall,England
St Veep,PL22,Cornwall,England
St Wenn,PL30,Cornwall,England
St Winnow,,Cornwall,England
Stenalees,PL26,Cornwall,England
Stencoose,,Cornwall,England
Stennack,,Cornwall,England
Stepaside,,Cornwall,England
Stibb,EX23,Cornwall,England
Sticker,PL26,Cornwall,England
Stithians,TR3,Cornwall,England
Stoke Climsland,PL17,Cornwall,England
Stoptide,PL27,Cornwall,England
Stratton,EX23,Cornwall,England
Stursdon,,Cornwall,England
Summercourt,TR8,Cornwall,England
Sunrising Estate,,Cornwall,England
Sweets,,Cornwall,England
Sweetshouse,PL30,Cornwall,England
Talland,,Cornwall,England
Talskiddy,TR9,Cornwall,England
Tamar,,Cornwall,England
Tean,,Cornwall,England
Temple,PL30,Cornwall,England
Tencreek,,Cornwall,England
Terras,,Cornwall,England
The Carracks,,Cornwall,England
The Towans,,Cornwall,England
The Town,,Cornwall,England
Thorne,,Cornwall,England
Three Burrows,TR4,Cornwall,England
Three Hammers,,Cornwall,England
Three Holes Cross,,Cornwall,England
Threemilestone,TR3,Cornwall,England
Threewaters,,Cornwall,England
Thurdon,,Cornwall,England
Tideford,PL12,Cornwall,England
Tideford Cross,,Cornwall,England
Tilland,,Cornwall,England
Timbrelham,,Cornwall,England
Tintagel,PL34,Cornwall,England
Tintagel Head,,Cornwall,England
Titson,EX23,Cornwall,England
Todpool,,Cornwall,England
Tolborough,,Cornwall,England
Tolcarne,,Cornwall,England
Tolcarne Wartha,,Cornwall,England
Toldish,,Cornwall,England
Tolgus Mount,,Cornwall,England
Tolskithy,,Cornwall,England
Tolvaddon Downs,,Cornwall,England
Tomperrow,,Cornwall,England
Torfrey,,Cornwall,England
Torpoint,PL11,Cornwall,England
Towan,,Cornwall,England
Towan Cross,,Cornwall,England
Towan Head,,Cornwall,England
Towednack,TR26,Cornwall,England
Townshend,TR27,Cornwall,England
Traboe,TR12,Cornwall,England
Tramagenna,,Cornwall,England
Treal,,Cornwall,England
Treamble,,Cornwall,England
Treath,,Cornwall,England
Treator,,Cornwall,England
Trebarber,,Cornwall,England
Trebartha,PL15,Cornwall,England
Trebarwith,PL33,Cornwall,England
Trebarwith Strand,,Cornwall,England
Trebeath,,Cornwall,England
Trebell Green,,Cornwall,England
Trebetherick,PL27,Cornwall,England
Trebilcock,,Cornwall,England
Trebudannon,TR8,Cornwall,England
Trebullett,PL15,Cornwall,England
Treburgett,,Cornwall,England
Treburgie,,Cornwall,England
Treburley,PL15,Cornwall,England
Treburrick,,Cornwall,England
Trebyan,PL30,Cornwall,England
Tredannick,,Cornwall,England
Tredaule,,Cornwall,England
Tredavoe,TR20,Cornwall,England
Tredethy,,Cornwall,England
Tredinnick,PL14,Cornwall,England
Tredrizzick,,Cornwall,England
Treen,TR19,Cornwall,England
Treesmill,,Cornwall,England
Trefanny Hill,,Cornwall,England
Treforda,,Cornwall,England
Trefrize,,Cornwall,England
Tregada,,Cornwall,England
Tregadgwith,,Cornwall,England
Tregadillett,PL15,Cornwall,England
Tregajorran,,Cornwall,England
Tregamere,,Cornwall,England
Tregardock,,Cornwall,England
Tregargus,,Cornwall,England
Tregarland,,Cornwall,England
Tregarlandbridge,,Cornwall,England
Tregarne,,Cornwall,England
Tregarrick Mill,,Cornwall,England
Tregatillian,,Cornwall,England
Tregatta,,Cornwall,England
Tregavarah,,Cornwall,England
Tregear,TR2,Cornwall,England
Tregeare,PL15,Cornwall,England
Tregellist,,Cornwall,England
Tregeseal,,Cornwall,England
Tregew,,Cornwall,England
Tregidden,TR12,Cornwall,England
Tregolls,,Cornwall,England
Tregona,,Cornwall,England
Tregonce,,Cornwall,England
Tregonetha,TR9,Cornwall,England
Tregonna,,Cornwall,England
Tregonning,,Cornwall,England
Tregony,TR2,Cornwall,England
Tregoodwell,,Cornwall,England
Tregorden,,Cornwall,England
Tregorrick,,Cornwall,England
Tregoss,,Cornwall,England
Tregreenwell,,Cornwall,England
Tregrehan Mills,,Cornwall,England
Tregullon,,Cornwall,England
Tregunna,,Cornwall,England
Tregurrian,TR8,Cornwall,England
Tregurtha Downs,,Cornwall,England
Trehan,,Cornwall,England
Trehemborne,,Cornwall,England
Trehunist,,Cornwall,England
Trekeivesteps,,Cornwall,England
Trekenner,PL15,Cornwall,England
Trekenning,,Cornwall,England
Treknow,,Cornwall,England
Trelan,,Cornwall,England
Trelash,PL15,Cornwall,England
Treleigh,,Cornwall,England
Trelew,,Cornwall,England
Treligga,PL33,Cornwall,England
Trelights,PL29,Cornwall,England
Trelill,PL30,Cornwall,England
Trelion,,Cornwall,England
Treliske,,Cornwall,England
Trelissick,TR3,Cornwall,England
Treliver,,Cornwall,England
Treloquithack,,Cornwall,England
Trelowia,,Cornwall,England
Trelowth,,Cornwall,England
Tremail,PL32,Cornwall,England
Tremaine,PL15,Cornwall,England
Tremar,PL14,Cornwall,England
Trematon,PL12,Cornwall,England
Trematon Castle,,Cornwall,England
Tremayne,,Cornwall,England
Trembraze,,Cornwall,England
Tremedda,,Cornwall,England
Tremethick Cross,TR20,Cornwall,England
Tremore,,Cornwall,England
Tremorebridge,,Cornwall,England
Trenance,TR8,Cornwall,England
Trenant,,Cornwall,England
Trenarren,PL26,Cornwall,England
Trenay,,Cornwall,England
Trencreek,,Cornwall,England
Trencrom,,Cornwall,England
Trendeal,,Cornwall,England
Trenear,,Cornwall,England
Treneglos,PL15,Cornwall,England
Trenerth,,Cornwall,England
Trenewan,PL13,Cornwall,England
Trengale,,Cornwall,England
Trengune,,Cornwall,England
Trenhorne,,Cornwall,England
Treningle,,Cornwall,England
Treninnick,,Cornwall,England
Trenithon,,Cornwall,England
Trenoon,,Cornwall,England
Trenoweth,,Cornwall,England
Trenwheal,,Cornwall,England
Trequite,,Cornwall,England
Trerise,,Cornwall,England
Trerose,,Cornwall,England
Trerulefoot,PL12,Cornwall,England
Tresamble,,Cornwall,England
Tresarrett,,Cornwall,England
Tresavean,,Cornwall,England
Tresawle,,Cornwall,England
Tresawsen,,Cornwall,England
Tresco,,Cornwall,England
Trescoll,,Cornwall,England
Trescowe,TR20,Cornwall,England
Tresean,,Cornwall,England
Tresevern Croft,,Cornwall,England
Tresillian,TR2,Cornwall,England
Tresinney,PL32,Cornwall,England
Treskerby,,Cornwall,England
Treskillard,,Cornwall,England
Treskilling,,Cornwall,England
Treskinnick Cross,EX23,Cornwall,England
Treslothan,,Cornwall,England
Tresmeer,PL15,Cornwall,England
Tresowes Green,,Cornwall,England
Tresoweshill,,Cornwall,England
Tresparrett,PL32,Cornwall,England
Tresparrett Posts,PL32,Cornwall,England
Treswithian,,Cornwall,England
Treswithian Downs,,Cornwall,England
Trethellan Water,,Cornwall,England
Trethevy,,Cornwall,England
Trethewell,,Cornwall,England
Trethewey,,Cornwall,England
Trethillick,,Cornwall,England
Trethosa,,Cornwall,England
Trethowel,,Cornwall,England
Trethurgy,PL26,Cornwall,England
Trevadlock,,Cornwall,England
Trevalga,PL35,Cornwall,England
Trevalgan,,Cornwall,England
Trevance,,Cornwall,England
Trevanger,,Cornwall,England
Trevanson,PL27,Cornwall,England
Trevarrack,,Cornwall,England
Trevarren,TR9,Cornwall,England
Trevarrian,,Cornwall,England
Trevarrick,PL26,Cornwall,England
Trevarth,,Cornwall,England
Treveal,,Cornwall,England
Trevegean,,Cornwall,England
Treveighan,,Cornwall,England
Trevellas,TR5,Cornwall,England
Trevelmond,PL14,Cornwall,England
Trevelver,,Cornwall,England
Trevemper,,Cornwall,England
Treven,,Cornwall,England
Trevena,,Cornwall,England
Trevenen,,Cornwall,England
Trevenen Bal,,Cornwall,England
Trevenning,,Cornwall,England
Treveor,,Cornwall,England
Treverbyn,,Cornwall,England
Treverva,TR11,Cornwall,England
Trevescan,TR19,Cornwall,England
Trevia,,Cornwall,England
Trevigro,PL17,Cornwall,England
Trevilder,,Cornwall,England
Trevilla,,Cornwall,England
Trevilson,,Cornwall,England
Trevine,,Cornwall,England
Treviscoe,PL26,Cornwall,England
Treviskey,,Cornwall,England
Trevithal,,Cornwall,England
Trevoll,,Cornwall,England
Trevone,PL28,Cornwall,England
Trevorrick,,Cornwall,England
Trevose Head,,Cornwall,England
Trevowah,,Cornwall,England
Trevowhan,,Cornwall,England
Trew,,Cornwall,England
Trewalder,PL33,Cornwall,England
Trewarmett,PL34,Cornwall,England
Trewartha,,Cornwall,England
Trewassa,PL32,Cornwall,England
Trewavas Head,,Cornwall,England
Treween,,Cornwall,England
Trewellard,TR19,Cornwall,England
Trewen,PL15,Cornwall,England
Trewennack,,Cornwall,England
Trewennan,,Cornwall,England
Trewetha,,Cornwall,England
Trewethen,,Cornwall,England
Trewethern,,Cornwall,England
Trewey,,Cornwall,England
Trewidland,PL14,Cornwall,England
Trewindle,,Cornwall,England
Trewint,EX23,Cornwall,England
Trewithian,TR2,Cornwall,England
Trewithick,,Cornwall,England
Trewollock,,Cornwall,England
Trewoodloe,,Cornwall,England
Trewoon,PL25,Cornwall,England
Treworga,,Cornwall,England
Treworlas,,Cornwall,England
Treworld,,Cornwall,England
Trewornan,PL27,Cornwall,England
Treworrick,,Cornwall,England
Treworthal,,Cornwall,England
Treyarnon,PL28,Cornwall,England
Trezaise,,Cornwall,England
Trezelah,,Cornwall,England
Trillacott,,Cornwall,England
Trispen,TR4,Cornwall,England
Troan,,Cornwall,England
Troon,TR14,Cornwall,England
Troswell,PL15,Cornwall,England
Truas,,Cornwall,England
Truro,TR1,Cornwall,England
Truscott,,Cornwall,England
Trussall,,Cornwall,England
Truthan,TR4,Cornwall,England
Truthwall,,Cornwall,England
Trythogga,,Cornwall,England
Tubbs Mill,,Cornwall,England
Tuckingmill,TR14,Cornwall,England
Tuelmenna,,Cornwall,England
Turfdown,,Cornwall,England
Tutwell,,Cornwall,England
Twelveheads,TR4,Cornwall,England
Twelvewoods,,Cornwall,England
Two Burrows,,Cornwall,England
Tywardreath,PL24,Cornwall,England
Tywardreath Highway,PL24,Cornwall,England
United Downs,,Cornwall,England
Upcott,,Cornwall,England
Upton,PL14,Cornwall,England
Upton Cross,PL14,Cornwall,England
Valley Truckle,,Cornwall,England
Varfell,,Cornwall,England
Vellanoweth,,Cornwall,England
Venterdon,,Cornwall,England
Ventongimps,,Cornwall,England
Ventonleague,,Cornwall,England
Veryan,TR2,Cornwall,England
Veryan Green,,Cornwall,England
Victoria,PL26,Cornwall,England
Viscar,,Cornwall,England
Vogue,,Cornwall,England
Wadebridge,PL27,Cornwall,England
Wainhouse Corner,EX23,Cornwall,England
Wall,,Cornwall,England
Wanson,,Cornwall,England
Warbstow,PL15,Cornwall,England
Warbstow Cross,,Cornwall,England
Warleggan,PL30,Cornwall,England
Washaway,PL30,Cornwall,England
Watergate,,Cornwall,England
Waterloo,,Cornwall,England
Wearde,,Cornwall,England
Week Green,,Cornwall,England
Week St Mary,EX22,Cornwall,England
Weir Quay,,Cornwall,England
Welltown,,Cornwall,England
Wendron,TR13,Cornwall,England
Wenfordbridge,,Cornwall,England
Werrington,PL15,Cornwall,England
West Curry,PL15,Cornwall,England
West Downs,,Cornwall,England
West Looe,PL13,Cornwall,England
West Pentire,TR8,Cornwall,England
West Taphouse,PL22,Cornwall,England
West Tolgus,,Cornwall,England
West Watergate,,Cornwall,England
West Youlstone,,Cornwall,England
Westdowns,PL33,Cornwall,England
Wheal Alfred,,Cornwall,England
Wheal Baddon,,Cornwall,England
Wheal Busy,,Cornwall,England
Wheal Frances,,Cornwall,England
Wheal Kitty,,Cornwall,England
Wheal Rose,,Cornwall,England
Wherry Town,,Cornwall,England
Whipsiderry,,Cornwall,England
White Cross,TR8,Cornwall,England
White Island,,Cornwall,England
Whitecross,TR20,Cornwall,England
Whitemoor,,Cornwall,England
Whitewell,,Cornwall,England
Whitstone,EX22,Cornwall,England
Widegates,PL13,Cornwall,England
Widemouth Bay,EX23,Cornwall,England
Wilcove,,Cornwall,England
Windmill,,Cornwall,England
Withiel,PL30,Cornwall,England
Withielgoose,,Cornwall,England
Withielgoose Mills,,Cornwall,England
Wolf Rock,,Cornwall,England
Woodford,EX23,Cornwall,England
Woolley,,Cornwall,England
Woolston,,Cornwall,England
Woon,,Cornwall,England
Wringsdown,,Cornwall,England
Yeolmbridge,PL15,Cornwall,England
Zelah,TR4,Cornwall,England
Zennor,TR26,Cornwall,England
Zoar,,Cornwall,England
Zone Point,,Cornwall,England
