,,Staffordshire,England
Sharpley Heath,,Staffordshire,England
Shawfield,,Staffordshire,England
Shebdon,ST20,Staffordshire,England
Sheen,SK17,Staffordshire,England
Shelfield,,Staffordshire,England
Shelton,,Staffordshire,England
Shelton under Harley,,Staffordshire,England
Shenstone,WS14,Staffordshire,England
Shenstone Woodend,WS14,Staffordshire,England
Shire Oak,,Staffordshire,England
Shobnall,,Staffordshire,England
Short Heath,,Staffordshire,England
Shraleybrook,,Staffordshire,England
Shropshire Union Canal,,Staffordshire,England
Shut Heath,ST18,Staffordshire,England
Shutt Green,,Staffordshire,England
Sideway,,Staffordshire,England
Sidway,,Staffordshire,England
Silverdale,ST5,Staffordshire,England
Six Ashes,WV15,Staffordshire,England
Slade Heath,,Staffordshire,England
Slindon,ST21,Staffordshire,England
Slitting Mill,,Staffordshire,England
Smallrice,,Staffordshire,England
Smallthorne,ST6,Staffordshire,England
Smestow,,Staffordshire,England
Sneyd Green,,Staffordshire,England
Somerford,,Staffordshire,England
Sow,,Staffordshire,England
Spath,,Staffordshire,England
Spring Hill,,Staffordshire,England
Springfield,,Staffordshire,England
Springfields,,Staffordshire,England
Springhill,,Staffordshire,England
Stableford,ST5,Staffordshire,England
Stadmorslow,,Staffordshire,England
Stafford,ST16,Staffordshire,England
Staffordshire and Worcestershire Canal,,Staffordshire,England
Stallington,,Staffordshire,England
Standeford,WV10,Staffordshire,England
Standon,ST21,Staffordshire,England
Stanfield,,Staffordshire,England
Stanley,ST9,Staffordshire,England
Stanley Moor,,Staffordshire,England
Stanshope,,Staffordshire,England
Stanton,DE15,Staffordshire,England
Stapenhill,DE15,Staffordshire,England
Stockton Brook,,Staffordshire,England
Stockwell End,,Staffordshire,England
Stockwell Heath,,Staffordshire,England
Stoke on Trent,,Staffordshire,England
Stoke-upon-Trent,,Staffordshire,England
Stone,ST15,Staffordshire,England
Stone Heath,,Staffordshire,England
Stonefield,,Staffordshire,England
Stonehouses,,Staffordshire,England
Stonnall,WS9,Staffordshire,England
Stour,,Staffordshire,England
Stourbridge,,Staffordshire,England
Stourton,DY7,Staffordshire,England
Stow Lawn,,Staffordshire,England
Stowe,ST18,Staffordshire,England
Stowe-by-Chartley,,Staffordshire,England
Stramshall,ST14,Staffordshire,England
Streethay,WS13,Staffordshire,England
Stretton,DE13,Staffordshire,England
Stubwood,,Staffordshire,England
Sturbridge,ST21,Staffordshire,England
Sugnall,ST21,Staffordshire,England
Summerhill,,Staffordshire,England
Sutton,TF10,Staffordshire,England
Swindon,DY3,Staffordshire,England
Swinscoe,DE6,Staffordshire,England
Swynnerton,ST15,Staffordshire,England
Talke,ST7,Staffordshire,England
Talke Pits,ST7,Staffordshire,England
Tame,,Staffordshire,England
Tamworth,B77,Staffordshire,England
Tatenhill,DE13,Staffordshire,England
Tatenhill Common,,Staffordshire,England
Tean,ST10,Staffordshire,England
Teanford,,Staffordshire,England
Tern,,Staffordshire,England
Tettenhall,WV6,Staffordshire,England
Tettenhall Wood,WV6,Staffordshire,England
The Alders,,Staffordshire,England
The Bents,,Staffordshire,England
The Blythe,,Staffordshire,England
The Bratch,WV5,Staffordshire,England
The Chuckery,,Staffordshire,England
The Delves,,Staffordshire,England
The Handfords,,Staffordshire,England
The Heath,,Staffordshire,England
The Hollands,,Staffordshire,England
The Laches,,Staffordshire,England
The Leys,,Staffordshire,England
The Lunt,,Staffordshire,England
The Marsh,,Staffordshire,England
The Rookery,,Staffordshire,England
The Rowe,ST5,Staffordshire,England
The Sale,,Staffordshire,England
The Shruggs,,Staffordshire,England
The Toft,,Staffordshire,England
Thorncliffe,,Staffordshire,England
Thornes,WS9,Staffordshire,England
Thorpe Constantine,B79,Staffordshire,England
Threapwood,,Staffordshire,England
Threelows,,Staffordshire,England
Tillington,,Staffordshire,England
Tithebarn,,Staffordshire,England
Tittensor,ST12,Staffordshire,England
Tittesworth Reservoir,,Staffordshire,England
Tixall,ST18,Staffordshire,England
Tompkin,,Staffordshire,England
Toot Hill,,Staffordshire,England
Totmonslow,,Staffordshire,England
Town Head,,Staffordshire,England
Townend,,Staffordshire,England
Townsend,,Staffordshire,England
Trent,,Staffordshire,England
Trent and Mersey Canal,,Staffordshire,England
Trent Vale,,Staffordshire,England
Trentham,ST4,Staffordshire,England
Trescott,WV6,Staffordshire,England
Triangle,,Staffordshire,England
Trinity Fields,,Staffordshire,England
Trysull,WV5,Staffordshire,England
Tunstall,ST6,Staffordshire,England
Turnhurst,,Staffordshire,England
Tutbury,DE13,Staffordshire,England
Two Gates,B77,Staffordshire,England
Ubberley,,Staffordshire,England
Upper Cotton,,Staffordshire,England
Upper Elkstone,SK17,Staffordshire,England
Upper Ellastone,,Staffordshire,England
Upper Hatton,,Staffordshire,England
Upper Hulme,ST13,Staffordshire,England
Upper Landywood,,Staffordshire,England
Upper Leigh,,Staffordshire,England
Upper Longdon,WS15,Staffordshire,England
Upper Nobut,,Staffordshire,England
Upper Tean,ST10,Staffordshire,England
Uttoxeter,ST14,Staffordshire,England
Vigo,WS9,Staffordshire,England
Waggersley,,Staffordshire,England
Wain Lee,,Staffordshire,England
Walford,,Staffordshire,England
Wall,WS14,Staffordshire,England
Wall Heath,WV5,Staffordshire,England
Wallington Heath,,Staffordshire,England
Walsall Wood,WS9,Staffordshire,England
Walton,ST15,Staffordshire,England
Walton-on-the-Hill,ST17,Staffordshire,England
Walton-on-Trent,,Staffordshire,England
Warslow,SK17,Staffordshire,England
Warstone,,Staffordshire,England
Washerwall,,Staffordshire,England
Waterfall,ST10,Staffordshire,England
Waterhouses,ST10,Staffordshire,England
Weaverslake,,Staffordshire,England
Wednesfield,WV10,Staffordshire,England
Weeford,WS14,Staffordshire,England
Weeping Cross,ST17,Staffordshire,England
Wereton,,Staffordshire,England
Wergs,WV6,Staffordshire,England
Werrington,ST9,Staffordshire,England
West Chadsmoor,,Staffordshire,England
West Hill,,Staffordshire,England
Westcroft,,Staffordshire,England
Western Downs,,Staffordshire,England
Westlands,,Staffordshire,England
Weston,CW2,Staffordshire,England
Weston Coyney,ST3,Staffordshire,England
Weston Jones,TF10,Staffordshire,England
Weston Under Lizard,,Staffordshire,England
Wetley Rocks,ST9,Staffordshire,England
Wetmore,,Staffordshire,England
Wetton,DE6,Staffordshire,England
Wetwood,ST21,Staffordshire,England
Wheaton Aston,ST19,Staffordshire,England
Whiston,ST10,Staffordshire,England
Whitecross,,Staffordshire,England
Whitehill,,Staffordshire,England
Whitemore,,Staffordshire,England
Whitgreave,ST18,Staffordshire,England
Whitley Heath,,Staffordshire,England
Whitmore,ST5,Staffordshire,England
Whittington,DY7,Staffordshire,England
Wiggington,,Staffordshire,England
Wigginstall,,Staffordshire,England
Wightwick Manor,,Staffordshire,England
Wildwood,,Staffordshire,England
Willenhall,,Staffordshire,England
Willslock,,Staffordshire,England
Wilnecote,B77,Staffordshire,England
Wimblebury,WS12,Staffordshire,England
Winkhill,ST13,Staffordshire,England
Winnington,,Staffordshire,England
Winnothdale,,Staffordshire,England
Winshill,DE14,Staffordshire,England
Withington,ST10,Staffordshire,England
Withystakes,,Staffordshire,England
Wollaston,,Staffordshire,England
Wolstanton,,Staffordshire,England
Wombourne,WV5,Staffordshire,England
Wood Eaton,,Staffordshire,England
Wood End,,Staffordshire,England
Wood Gate,,Staffordshire,England
Wood Hayes,WV11,Staffordshire,England
Wood Lane,,Staffordshire,England
Woodcock Heath,,Staffordshire,England
Woodend,,Staffordshire,England
Woodhouse Green,,Staffordshire,England
Woodhouses,DE13,Staffordshire,England
Woodlane,,Staffordshire,England
Woodmill,,Staffordshire,England
Woods Bank,,Staffordshire,England
Woodseaves,ST20,Staffordshire,England
Woodwall Green,,Staffordshire,England
Woollaston,,Staffordshire,England
Wootton,DE6,Staffordshire,England
Woottons,,Staffordshire,England
Wrinehill,CW3,Staffordshire,England
Wychnor,,Staffordshire,England
Wychnor Bridges,,Staffordshire,England
Wyrley and Essington Canal,,Staffordshire,England
Yarnfield,ST15,Staffordshire,England
Yoxall,DE13,Staffordshire,England
